Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;997;"1.116";13;"3.007";"5.437"
ForgeFlow;787;931;28;"2.257";"4.136"
akretion;343;415;16;"1.189";"2.652"
camptocamp;339;435;14;"1.235";"1.802"
acsone;323;431;20;779;"2.336"
tegin;211;227;5;512;"1.101"
ursais;155;227;24;460;"1.175"
"NextERP-Romania";129;145;4;44;512
"landoo-es";115;123;1;156;744
"vauxoo-dev";113;124;11;193;301
Escodoo;110;132;3;375;973
"sygel-technology";106;114;3;292;855
"ecosoft-odoo";92;121;5;256;887
legalsylvain;64;99;1;165;470
moduon;60;71;2;205;424
corporatehub;54;55;1;14;248
Engenere;52;67;2;242;500
kmee;50;91;5;216;469
Studio73;48;55;9;167;436
tranngocson1996;46;47;1;104;74
yankinmax;46;66;1;199;391
SirTakobi;42;70;1;187;307
ilyasProgrammer;38;73;1;228;461
"adhoc-dev";33;93;9;181;396
gurneyalex;30;34;1;67;129
commitsun;28;42;4;16;116
cubells;28;46;1;68;205
Comunitea;27;35;4;96;239
coopiteasy;27;67;5;127;265
hbrunn;27;28;1;86;204
