Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;418;484;20;"1.173";"2.175"
Tecnativa;396;452;12;"1.106";"1.952"
camptocamp;188;226;10;621;950
akretion;172;213;15;648;"1.285"
tegin;145;189;3;376;769
acsone;143;200;15;359;"1.106"
ursais;85;132;15;299;581
"sygel-technology";74;87;3;219;619
"landoo-es";73;75;1;88;441
"ecosoft-odoo";48;71;5;146;486
Escodoo;43;59;2;149;380
moduon;41;50;2;123;293
"NextERP-Romania";31;36;4;16;111
"vauxoo-dev";29;33;8;119;178
Studio73;28;28;7;105;278
nilshamerlinck;25;25;1;36;11
legalsylvain;22;34;1;59;148
yankinmax;21;42;1;111;223
AntoniRomera;18;21;1;68;141
commitsun;17;24;4;10;73
fredzamoabg;17;20;1;76;146
Comunitea;16;23;3;60;156
tranngocson1996;15;44;1;95;67
florentx;14;18;1;19;53
mymage;14;10;1;28;94
eLBati;13;25;1;62;154
grindtildeath;13;18;1;52;82
gurneyalex;13;16;1;30;51
hailangvn;13;13;1;43;114
tafaRU;13;10;1;45;95
