User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,4,6,448,252,281
rousseldenis,11,12,221,111,141
MiquelRForgeFlow,36,42,67,87,143
legalsylvain,14,8,113,40,62
rvalyi,5,3,91,58,73
victoralmau,48,36,32,35,84
chienandalu,17,15,27,59,83
marcelsavegnago,6,8,49,36,53
StefanRijnhart,5,3,38,55,66
HaraldPanten,-,-,45,51,58
francesco-ooops,-,-,63,24,32
cesar-tecnativa,25,9,23,21,40
renatonlima,18,14,26,23,46
LoisRForgeFlow,11,9,35,26,44
ivantodorovich,9,5,27,38,51
etobella,4,3,26,37,47
manuelregidor,17,20,26,3,32
nimarosa,5,3,47,8,20
antoniospneto,10,11,16,26,44
ao-landoo,15,11,29,4,24
sang250399,36,7,5,10,25
JuanyDForgeflow,33,2,15,6,18
lmignon,6,6,30,8,22
sebalix,3,4,20,26,36
kittiu,1,2,26,19,27
dreispt,4,1,31,11,20
albariera,3,6,13,25,36
sergio-teruel,8,10,14,15,32
alexey-pelykh,4,6,24,10,23
simahawk,5,2,19,12,21
elvise,-,-,30,7,12
SirTakobi,11,7,6,11,24
TheMule71,4,-,18,12,18
dsolanki-initos,4,-,23,7,14
CarlosRoca13,8,5,10,12,23
GSLabIt,6,1,20,7,15
HviorForgeFlow,8,4,12,11,21
sebastienbeau,3,4,24,4,15
jcdrubay,2,-,15,16,21
AaronHForgeFlow,1,2,13,11,18
felipemotter,1,1,5,26,30
ghost,7,1,23,-,8
tafaRU,1,1,17,13,19
gdgellatly,-,-,2,30,31
olgamarcocb,7,21,1,1,26
rafaelbn,-,-,24,8,13
hildickethan,4,2,14,9,17
luisg123v,1,1,11,18,23
matteoopenf,-,-,21,10,15
alexis-via,4,5,15,2,13
bosd,3,-,19,7,13
mtelahun,5,3,15,3,12
carmenbianca,3,-,3,21,24
eLBati,4,1,5,18,23
hbrunn,5,5,9,3,13
mbcosta,1,2,6,13,18
yajo,4,5,7,11,21
NL66278,1,3,5,12,18
ValentinVinagre,-,1,8,17,21
ajaniszewska-dev,3,-,1,21,24
moylop260,3,1,14,7,13
ntsirintanis,1,1,9,14,19
xhnilic3,6,-,8,11,16
hirokibastos,5,7,4,9,20
rolandojduartem,3,3,13,6,14
tranngocson1996,2,15,5,3,22
Rad0van,2,1,12,9,15
TeoGoddet,5,1,10,7,13
hparfr,3,2,7,10,16
ps-tubtim,5,1,4,11,16
leemannd,4,-,9,9,14
thomaspaulb,-,-,1,12,13
PierrickBrun,2,2,12,3,10
TDu,4,1,4,9,14
carlosdauden,1,1,1,17,20
petrus-v,1,1,7,10,15
victor-champonnois,4,-,5,11,15
Saran440,3,4,6,3,11
