Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;104;119;10;304;607
acsone;77;98;15;223;551
"vauxoo-dev";69;72;3;11;14
ForgeFlow;66;63;17;221;392
camptocamp;52;61;10;176;285
akretion;39;43;10;107;304
"NextERP-Romania";37;35;3;7;161
ursais;34;25;13;60;219
kmee;22;39;2;54;178
"ecosoft-odoo";21;18;3;41;160
Escodoo;13;13;1;32;117
coopiteasy;13;31;4;56;122
StefanRijnhart;11;11;1;21;71
legalsylvain;11;30;1;38;137
grindtildeath;10;2;1;41;74
"adhoc-dev";9;17;6;26;57
gurneyalex;9;11;1;9;40
sunflowerit;9;2;1;21;70
tegin;9;6;4;19;47
corporatehub;8;9;1;3;42
cubells;8;9;1;4;37
efatto;7;7;1;9;32
nimarosa;7;9;1;15;59
AshishHirapara;6;9;1;44;71
norlinhenrik;6;9;2;7;78
yankinmax;6;2;1;14;37
ilyasProgrammer;5;10;1;32;53
"landoo-es";5;8;1;10;30
Engenere;4;11;2;25;97
GSLabIt;4;3;1;26;43
