Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,184,181,11,404,760
akretion,54,77,9,150,350
ForgeFlow,51,87,15,162,304
MallorcaSoft,44,55,1,155,385
camptocamp,38,44,10,126,199
acsone,34,46,12,100,178
tegin,31,29,4,73,151
mymage,26,24,1,70,138
legalsylvain,15,11,1,32,67
NextERP-Romania,13,14,3,13,73
adhoc-dev,10,14,7,37,76
cetmix,10,20,6,79,66
coopiteasy,10,24,3,61,145
moduon,10,11,2,43,59
Studio73,9,16,5,39,67
factorlibre,9,6,4,27,70
qrtl,9,14,3,43,68
terrabit-ro,8,8,2,5,32
ecosoft-odoo,7,15,4,22,49
ndd-odoo,7,-,1,11,22
ramiadavid,7,11,1,37,67
Escodoo,6,12,1,32,69
ursais,6,22,3,13,53
vauxoo-dev,6,5,3,1,18
bosd,5,6,1,14,31
efatto,5,9,1,25,34
grindtildeath,5,5,1,18,34
ilyasProgrammer,5,1,1,6,42
Comunitea,4,3,1,3,10
StefanRijnhart,4,7,1,13,19
