Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,104,99,8,258,454
ForgeFlow,102,125,13,274,531
akretion,47,42,12,219,334
acsone,44,59,8,92,301
ursais,30,37,10,63,181
camptocamp,22,29,7,89,145
tegin,16,19,3,60,119
ecosoft-odoo,10,17,4,32,94
moduon,10,14,2,29,81
NextERP-Romania,7,6,2,-,14
tranngocson1996,7,-,1,4,-
landoo-es,6,5,1,5,46
BT-dmontull,5,7,1,15,46
coopiteasy,5,7,3,3,27
fredzamoabg,5,5,1,14,32
Engenere,4,5,1,36,72
TheMule71,4,2,1,5,21
bosd,4,5,1,10,21
sonhd91,4,1,1,13,21
sygel-technology,4,7,3,21,38
Borruso,3,-,1,9,19
Studio73,3,2,3,14,37
carmenbianca,3,3,1,1,2
efatto,3,1,1,7,41
grindtildeath,3,5,1,15,19
hieu1211,3,3,1,9,15
initOS,3,1,2,11,31
pedroguirao,3,2,1,7,13
rven,3,2,1,4,20
yankinmax,3,7,1,12,17
