Organizations,MPRs,CPRs,Users,Reviews,Cts
ForgeFlow,78,80,14,250,383
Tecnativa,70,91,8,190,374
tegin,46,75,3,106,255
camptocamp,34,40,7,116,173
akretion,27,40,7,135,220
sygel-technology,21,26,2,57,154
vauxoo-dev,18,19,6,61,94
acsone,16,20,8,42,172
Studio73,14,10,6,55,127
NextERP-Romania,13,12,3,6,47
landoo-es,11,10,1,23,56
moduon,10,11,2,25,65
mymage,10,6,1,14,66
Escodoo,8,19,1,39,97
ecosoft-odoo,8,14,3,32,82
ursais,8,20,5,79,128
cetmix,6,14,2,51,98
hbrunn,6,7,1,27,57
legalsylvain,6,6,1,15,45
Comunitea,5,12,2,29,35
SirTakobi,4,9,1,27,49
flachica,4,9,1,6,35
florentx,4,4,1,3,22
jcoux,4,6,1,12,24
kmee,4,11,1,20,58
luc-demeyer,4,4,1,11,26
GSLabIt,3,2,1,17,31
brian10048,3,3,1,6,14
commitsun,3,4,2,-,9
eLBati,3,4,1,17,26
