Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;727;841;13;"2.366";"4.052"
ForgeFlow;648;790;26;"1.885";"3.342"
akretion;278;343;15;975;"2.073"
camptocamp;258;332;13;905;"1.350"
acsone;206;295;16;477;"1.574"
tegin;192;210;3;464;"1.001"
ursais;111;187;17;371;827
"landoo-es";103;109;1;123;662
"sygel-technology";103;108;3;283;825
Escodoo;77;99;3;296;719
"ecosoft-odoo";63;88;5;202;666
"NextERP-Romania";60;91;4;35;241
moduon;54;64;2;168;372
legalsylvain;50;64;1;114;299
tranngocson1996;46;47;1;104;73
corporatehub;42;42;1;11;191
Studio73;41;46;9;153;371
"vauxoo-dev";41;49;9;176;273
Engenere;36;44;2;173;320
SirTakobi;31;51;1;153;248
yankinmax;31;57;1;155;312
kmee;28;45;5;158;277
ilyasProgrammer;26;57;1;152;350
nilshamerlinck;25;25;1;38;13
commitsun;24;34;4;11;91
hbrunn;24;25;1;82;183
Comunitea;23;34;4;95;208
"adhoc-dev";22;68;8;130;286
elego;20;28;3;65;138
AntoniRomera;19;21;1;69;150
