Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;893;997;13;"2.703";"4.830"
ForgeFlow;721;868;28;"2.036";"3.744"
akretion;304;372;15;"1.082";"2.348"
camptocamp;287;374;13;"1.059";"1.517"
acsone;246;333;16;556;"1.785"
tegin;202;221;5;493;"1.054"
ursais;121;202;19;400;956
"landoo-es";110;115;1;146;714
"sygel-technology";104;109;3;284;832
Escodoo;97;119;3;343;856
"NextERP-Romania";92;110;4;37;351
"ecosoft-odoo";71;103;5;215;727
moduon;57;68;2;178;398
legalsylvain;53;69;1;127;333
Engenere;48;56;2;217;403
corporatehub;46;46;1;11;206
tranngocson1996;46;47;1;104;73
Studio73;45;51;9;158;401
"vauxoo-dev";44;52;10;182;287
yankinmax;40;64;1;185;354
SirTakobi;38;62;1;171;286
ilyasProgrammer;33;63;1;196;408
commitsun;28;37;4;16;116
kmee;28;52;5;162;291
nilshamerlinck;25;26;1;40;13
Comunitea;24;34;4;96;226
"adhoc-dev";24;76;8;155;339
hbrunn;24;26;1;83;190
eLBati;22;40;1;82;212
TheMule71;21;31;1;125;264
