Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;87;122;9;348;520
ForgeFlow;70;117;14;230;390
akretion;40;49;13;113;306
tegin;30;14;3;73;146
acsone;23;28;7;48;187
"sygel-technology";23;19;3;57;168
tranngocson1996;15;2;1;3;5
camptocamp;14;25;7;85;96
Engenere;12;11;2;36;63
kmee;11;8;3;41;74
"landoo-es";11;15;1;13;72
moduon;10;9;2;23;44
Escodoo;9;6;2;52;89
"ecosoft-odoo";8;10;4;39;85
legalsylvain;8;14;1;19;59
SirTakobi;7;11;1;38;31
Studio73;7;11;4;28;44
sang250399;7;36;1;78;75
"vauxoo-dev";7;9;5;36;68
corporatehub;6;4;1;"-";31
hbrunn;5;5;1;18;25
ilyasProgrammer;5;7;1;24;63
"NextERP-Romania";4;8;3;7;15
ursais;4;20;4;41;74
Comunitea;3;1;1;13;15
NL66278;3;1;1;8;13
"archeti-org";3;4;2;9;22
cetmix;3;3;2;24;47
commitsun;3;5;1;"-";6
elego;3;4;2;7;27
