Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;52;66;9;154;310
tegin;49;49;3;104;196
ForgeFlow;48;72;14;144;287
camptocamp;40;37;8;101;214
akretion;30;29;10;102;228
"sygel-technology";28;34;3;75;202
acsone;26;32;6;49;206
ursais;16;20;9;59;64
"ecosoft-odoo";14;8;4;32;128
Escodoo;11;16;1;30;139
moduon;8;8;2;33;50
"vauxoo-dev";8;8;3;21;38
legalsylvain;7;5;1;15;42
"NextERP-Romania";6;7;3;5;27
commitsun;6;5;3;3;21
ilyasProgrammer;5;15;1;34;59
"adhoc-dev";4;11;2;11;50
bizzappdev;4;"-";1;10;24
elego;4;4;1;6;24
GSLabIt;3;4;1;18;24
VanMoof;3;1;1;2;16
eLBati;3;5;1;14;47
gurneyalex;3;6;1;13;15
jbaudoux;3;3;1;11;25
jguenat;3;3;1;3;9
sunflowerit;3;"-";1;4;21
ygol;3;"-";1;4;9
AshishHirapara;2;2;1;18;17
Comunitea;2;5;2;6;22
LevelPrime;2;3;1;29;54
