Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;107;123;17;306;480
Tecnativa;107;125;11;432;824
akretion;38;50;8;109;241
acsone;27;44;4;47;177
corporatehub;26;29;1;7;123
camptocamp;25;39;9;80;147
"NextERP-Romania";24;21;3;8;84
legalsylvain;18;15;1;31;79
"ndd-odoo";16;59;1;25;75
tranngocson1996;15;1;1;6;1
"landoo-es";14;11;1;12;116
tegin;12;3;2;9;53
daonamutc1;10;29;1;10;25
Escodoo;9;22;1;45;100
Engenere;8;12;2;42;90
cubells;7;18;1;20;62
sang250399;7;"-";1;27;30
SirTakobi;6;5;1;16;55
cibex;6;5;1;18;42
"sygel-technology";6;2;1;7;38
"terrabit-ro";6;8;1;4;25
"adhoc-dev";5;3;3;18;32
"royle-vietnam";5;7;1;41;50
sonhd91;5;6;1;22;34
AshishHirapara;4;5;1;19;38
eLBati;4;2;1;10;26
ilyasProgrammer;4;6;1;25;66
"Jarsa-dev";3;3;1;7;35
Studio73;3;6;3;15;30
TeoGoddet;3;2;1;41;27
