Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;340;404;17;923;"1.792"
Tecnativa;326;361;12;916;"1.578"
camptocamp;154;186;10;505;777
akretion;145;173;15;513;"1.065"
acsone;127;180;12;317;934
tegin;99;114;3;270;514
ursais;77;112;14;220;453
"landoo-es";62;65;1;65;385
"sygel-technology";53;61;3;162;465
"ecosoft-odoo";40;57;5;114;404
Escodoo;35;40;2;110;283
moduon;31;39;2;98;228
nilshamerlinck;25;25;1;36;11
"NextERP-Romania";18;24;4;10;64
yankinmax;18;34;1;90;194
AntoniRomera;16;21;1;65;127
legalsylvain;16;28;1;44;103
tranngocson1996;15;44;1;88;63
Studio73;14;18;6;50;151
commitsun;14;20;4;10;64
fredzamoabg;14;19;1;63;126
gurneyalex;12;16;1;30;46
tafaRU;12;8;1;41;87
Comunitea;11;11;3;31;121
"vauxoo-dev";11;14;4;58;84
Engenere;10;14;2;76;123
TheMule71;10;13;1;53;113
"adhoc-dev";10;35;6;56;148
eLBati;10;21;1;45;128
florentx;10;14;1;16;31
