Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;73;91;9;247;392
ForgeFlow;71;81;14;256;366
camptocamp;48;73;7;160;180
akretion;36;51;9;108;261
tegin;29;33;3;83;160
acsone;28;48;6;105;196
"landoo-es";25;32;1;24;158
nilshamerlinck;24;25;1;36;5
AntoniRomera;15;18;1;59;112
"sygel-technology";13;15;2;44;130
Escodoo;11;10;2;37;72
florentx;10;12;1;16;30
"ecosoft-odoo";9;24;4;25;85
yankinmax;8;20;1;31;105
jbaudoux;7;5;1;48;53
tranngocson1996;7;44;1;79;55
ursais;7;19;4;16;66
Studio73;6;4;4;12;58
hailangvn;6;6;1;10;30
legalsylvain;6;5;1;12;29
"Jarsa-dev";5;6;1;11;38
"NextERP-Romania";5;7;2;5;21
grindtildeath;5;7;1;25;14
sonhd91;5;6;1;25;27
"Digital5-Odoo";4;3;1;20;25
initOS;4;4;4;5;29
"xAdrianC-Kernet";4;3;1;1;19
SimoRubi;3;4;1;8;20
"adhoc-dev";3;9;3;15;28
celm1990;3;3;1;13;29
