Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.453,1.590,16,3.975,7.225
ForgeFlow,916,1.105,29,2.637,4.840
camptocamp,422,541,17,1.615,2.251
akretion,411,539,16,1.408,3.160
acsone,400,526,22,999,2.795
tegin,293,309,5,702,1.473
ursais,210,282,26,560,1.549
NextERP-Romania,159,176,4,66,652
landoo-es,137,147,1,212,887
vauxoo-dev,137,153,11,215,351
ecosoft-odoo,123,175,6,341,1.076
Escodoo,119,146,3,417,1.064
sygel-technology,111,118,3,307,918
legalsylvain,84,124,1,228,624
moduon,80,97,2,314,574
Studio73,63,82,9,235,556
Engenere,60,76,2,283,599
corporatehub,57,58,1,14,258
mymage,55,58,1,133,327
kmee,54,100,6,234,504
coopiteasy,53,113,5,232,512
adhoc-dev,52,128,9,250,556
ilyasProgrammer,49,90,1,270,594
yankinmax,49,69,1,218,429
tranngocson1996,47,47,1,109,81
MallorcaSoft,44,58,1,156,393
SirTakobi,43,85,1,208,341
StefanRijnhart,39,43,1,89,209
TheMule71,37,47,1,178,396
commitsun,34,50,4,16,123
