Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;190;207;15;505;974
Tecnativa;170;196;11;504;814
camptocamp;92;120;9;315;418
akretion;68;102;13;192;503
acsone;57;89;10;176;427
"landoo-es";55;60;1;58;328
tegin;34;46;3;106;199
ursais;31;55;9;98;208
nilshamerlinck;25;25;1;36;10
Escodoo;22;18;2;71;131
"sygel-technology";21;20;2;66;225
"ecosoft-odoo";16;32;4;50;182
AntoniRomera;15;19;1;59;113
yankinmax;14;21;1;70;155
moduon;13;17;2;36;97
florentx;10;14;1;16;30
Studio73;9;10;6;26;94
commitsun;8;10;4;6;34
fredzamoabg;8;9;1;41;65
tafaRU;8;6;1;28;53
tranngocson1996;8;44;1;84;63
Comunitea;7;5;3;25;87
"Jarsa-dev";7;7;1;13;55
gurneyalex;7;7;1;11;22
hailangvn;7;6;1;13;41
jbaudoux;7;5;1;48;56
legalsylvain;7;13;1;17;45
"Digital5-Odoo";6;6;1;32;37
SimoRubi;6;6;1;15;58
"adhoc-dev";6;16;5;32;69
