Organizations,MPRs,CPRs,Users,Reviews,Cts
ForgeFlow,119,126,14,249,608
Tecnativa,97,105,9,257,422
camptocamp,44,47,7,155,238
akretion,32,51,7,84,242
landoo-es,30,28,1,34,170
acsone,29,41,9,71,231
ursais,24,36,9,82,142
moduon,13,17,2,36,97
Escodoo,11,8,2,34,59
sygel-technology,8,5,2,22,95
ecosoft-odoo,7,8,3,25,97
Comunitea,6,3,2,23,53
yankinmax,6,1,1,39,50
commitsun,5,6,3,4,23
fredzamoabg,5,3,1,18,43
gurneyalex,5,5,1,6,20
tafaRU,5,4,1,21,30
tegin,5,13,3,23,39
Engenere,4,6,2,20,23
Change2improve,3,3,1,10,17
SimoRubi,3,2,1,7,38
Studio73,3,6,3,14,36
adhoc-dev,3,7,2,17,41
binovo,3,4,2,9,32
cubells,3,4,1,9,21
eLBati,3,6,1,14,36
juanpgarza,3,2,1,10,23
nimarosa,3,1,1,4,16
patrickrwilson,3,2,1,4,18
royle-vietnam,3,5,1,22,22
