User;CPRs;MPRs;Cts;Reviews;CI
LudLaf;6;5;9;4;14
atchuthan;3;1;3;16;20
"joao-p-marques";2;4;6;12;20
"ddejong-therp";7;2;9;3;11
driehuis;5;1;16;"-";7
fkantelberg;5;3;9;3;11
"ljsalvatierra-factorlibre";6;5;9;2;12
mcojocaru;12;10;"-";"-";13
pedroguirao;5;4;12;"-";10
arfbin;6;4;9;3;12
eantones;4;"-";7;4;9
"miguel-S73";4;5;10;2;12
ntsirintanis;2;1;6;12;17
robinkeunen;4;3;8;5;13
sonhd91;7;10;1;3;17
"vincent-hatakeyama";3;3;5;10;17
zeroincombenze;5;"-";10;6;11
"fshah-initos";8;1;5;6;12
GabbasovDinar;4;1;11;4;10
MateuGForgeFlow;4;4;2;9;16
chandni299;6;6;3;2;12
fernandahf;2;4;6;7;15
gfcapalbo;1;1;1;4;7
ioans73;3;2;3;9;14
raistdev;5;3;6;4;12
uolaizola;6;2;6;5;12
JorgeQuinteros;5;3;7;3;11
"Reyes4711-S73";5;3;5;4;11
baimont;4;2;2;6;11
fcayre;10;"-";3;4;9
"marcos-mendez";"-";"-";9;10;13
newtratip;5;6;3;3;13
igallart;11;3;1;"-";7
kelvzxu;2;1;12;1;7
"rp-landoo";"-";"-";2;16;17
Abranes;4;2;5;4;10
braisab;9;8;"-";"-";11
fuentes73;"-";"-";4;13;15
maisim;3;"-";8;5;10
scigghia;2;"-";7;6;10
sergioeix;5;1;9;"-";6
AmmarOfficewalaSerpentCS;4;5;5;"-";9
DiegoParadeda;3;2;4;7;13
MRomeera;"-";"-";"-";16;16
StephaneMangin;1;1;3;11;15
antonag32;3;3;8;2;10
antonioburic;4;3;2;6;12
cramosh;5;1;8;"-";6
paradoxxxzero;9;2;3;1;8
"patrickt-oforce";3;"-";9;4;9
yostashiro;3;1;5;7;12
"Nikul-OSI";5;3;5;2;9
OriolVForgeFlow;3;5;5;1;10
antoniocanovas;"-";"-";4;11;13
"chafique-delli";3;2;5;1;7
ecino;"-";"-";"-";1;1
jguenat;6;5;"-";3;10
"kos94ok-3D";2;"-";3;7;10
mamfredym;2;"-";"-";12;13
miguelpadin;5;4;3;2;10
monen17;5;2;2;4;10
quentinDupont;2;"-";4;6;9
wpichler;"-";"-";4;"-";2
"Rajan-SCS";8;1;5;"-";6
"andhit-r";1;"-";2;5;7
"len-foss";2;"-";5;"-";4
lubusax;4;"-";4;4;8
"mt-software-de";6;2;5;"-";7
nedaszilinskas;3;4;4;2;10
patovala;3;"-";2;8;11
rlizana;"-";"-";"-";14;14
zurawmaco;4;2;7;"-";7
"dependabot[bot]";6;1;4;"-";5
dhongu;4;4;"-";4;10
dnplkndll;4;2;5;2;8
jordancoest;"-";"-";1;12;13
marylla;"-";"-";9;4;7
misern2;2;3;4;2;8
olveracuenca;6;1;3;1;6
saxomanu;4;"-";2;2;5
stananatanaela;7;6;"-";"-";9
"Vandan-OSI";8;2;1;"-";6
"antonio-trey";2;2;2;6;11
augustodinizl;"-";"-";"-";12;12
bodedra;"-";"-";1;8;9
daramousk;"-";"-";"-";"-";0
florenciafrigieri2;"-";"-";6;6;8
francescapenso;"-";"-";9;3;6
juanpgarza;4;3;4;1;8
kevinkhao;2;2;2;3;8
matiasperalta1;7;1;3;1;6
murtuzasaleh;2;4;1;1;7
njeudy;2;"-";7;2;6
"tv-openbig";"-";"-";12;"-";3
DavidJForgeFlow;6;2;"-";"-";4
SicurSam;"-";"-";"-";11;11
ThomasBinsfeld;"-";2;"-";1;3
cormaza;4;1;2;3;7
fmdl;"-";1;5;1;4
"hugho-ad";"-";"-";2;9;10
mtelahun;1;1;4;2;6
"osi-scampbell";1;"-";1;1;3
"pedrocs-exo";2;3;2;2;8
reneeduijzers;6;"-";"-";"-";2
stevech091;"-";"-";2;9;10
theangryangel;6;"-";3;"-";4
tosink;2;"-";7;"-";4
"BT-rmartin";2;"-";6;"-";4
Guenzn;2;"-";7;"-";4
"JayVora-SerpentCS";"-";"-";3;"-";2
JoanSForgeFlow;"-";"-";"-";8;8
aisopuro;"-";1;5;4;7
crsilveira;2;"-";7;"-";4
"jfernandez-busman";"-";"-";2;8;9
lfreeke;1;"-";1;7;9
"oerp-odoo";1;"-";3;5;8
oihane;4;1;2;1;5
pegonzalezspesol;3;2;"-";4;8
slominchar;8;"-";"-";"-";3
willytal;4;2;1;2;7
ygol;3;3;2;2;8
JoelZilli;5;"-";3;"-";4
RosSinch;2;"-";2;4;7
SplashS;1;1;6;"-";4
"Vimal-OSI";7;"-";2;"-";4
acysos;"-";"-";8;1;4
bobslee;1;"-";2;5;7
clementmbr;"-";2;2;1;4
douglascstd;"-";"-";1;8;9
kirca;3;1;4;"-";5
koenloodts;"-";5;"-";"-";5
lasley;"-";"-";"-";"-";0
moaadbourhim;3;"-";4;"-";4
mrcast;"-";"-";"-";9;9
"pedroortega-punt";"-";"-";7;2;5
vongoethe;"-";"-";5;4;6
AdriaGForgeFlow;"-";1;"-";"-";1
BankyKmitl;"-";3;3;1;6
"Chanakya-OSI";3;2;1;1;6
"MPoch-PlanetaTIC";"-";"-";1;"-";1
PieterPaulussen;"-";"-";"-";1;1
RodrigoBM;1;1;1;"-";3
Tisho99;2;"-";1;3;5
"alvaro-domatix";"-";"-";5;"-";2
enricostano;2;1;4;"-";4
fetcheping;6;1;1;"-";4
huguesdk;3;3;2;"-";6
"jinye-domatix";3;"-";2;"-";3
jwaes;2;"-";6;"-";4
mauriciomatos96;5;"-";"-";"-";2
nguyenhk99;5;2;1;"-";5
qgroulard;2;3;1;"-";5
remihb;"-";1;4;1;4
susport;"-";"-";"-";"-";0
"tack-yabeQuartile";1;1;6;"-";4
"volodymyr-dehtiarenko";5;1;"-";"-";3
vrenaville;"-";"-";"-";"-";0
AlvaroTForgeFlow;1;6;"-";"-";7
"Chandresh-OSI";4;3;"-";"-";5
"Hardik-OSI";4;2;"-";"-";4
JulianaPoudou;1;1;"-";5;7
MarcoCalcagni;"-";1;2;4;6
"Martronic-SA";1;"-";"-";"-";1
NuriaXifre;4;2;"-";"-";4
RaulOForgeFlow;"-";"-";"-";7;7
TheRaphael0000;2;"-";3;"-";3
"augusto-weiss";4;"-";2;"-";3
cbssolutions;2;2;2;"-";5
colmeirin;3;1;2;"-";4
csil300;4;"-";"-";"-";2
damendieta;"-";"-";1;6;7
em230418;3;1;3;"-";4
"espo-tony";"-";"-";1;4;5
"kh-badep";2;"-";"-";"-";1
marcelofrare;"-";"-";"-";7;7
marielejeune;3;1;3;"-";4
mlaitinen;"-";1;5;1;4
rjpathan;4;"-";1;"-";3
robin5210;3;1;3;"-";4
"ventor-dev";"-";"-";4;3;5
weinni2000;5;"-";"-";"-";2
26hpredraglazarevic;2;"-";3;"-";3
CarmenMiranda;"-";"-";"-";6;6
Herqs;2;"-";4;"-";3
JaumeBforgeFlow;5;"-";"-";"-";2
Joan10;1;1;4;"-";4
RLeeOSI;1;"-";3;1;4
"Swapnesh-SerpentCS";1;"-";3;2;5
ZavarinArtem;1;"-";3;2;5
alexeirivera87;2;"-";2;2;5
anajuaristi;"-";"-";3;3;5
bguillot;1;"-";1;1;3
bunhin;"-";"-";5;1;3
diggy128;1;"-";2;"-";2
emadshaaban92;2;1;3;"-";4
jacob88;"-";2;4;"-";4
jans23;"-";"-";1;2;3
josufmcg;1;1;3;1;5
kv1612;2;2;1;"-";4
"nikul-serpentcs";"-";"-";2;2;3
onurugur;1;"-";5;"-";3
ozono;1;"-";3;1;4
"pre-commit-ci[bot]";3;3;"-";"-";5
"sandipvyas-osi";3;"-";2;"-";3
tarbib;"-";"-";1;5;6
treveradams;"-";"-";"-";"-";0
vanderperre;1;"-";1;4;6
zeroheure;"-";"-";2;"-";1
"Daniel-CA";1;"-";1;3;5
Dariosi;2;2;1;"-";4
Kiplangatdan;1;1;1;"-";3
Lopsanz;1;"-";1;2;4
MaxyMoos;"-";1;"-";"-";1
Olageibol;2;"-";1;"-";2
PatosMarco;"-";"-";5;"-";2
Roodin;"-";"-";"-";"-";0
SerM11;"-";"-";2;3;4
airlessproject;3;"-";2;"-";3
alielnagar;"-";"-";5;"-";2
almumu;2;"-";"-";"-";1
andrewdhastings;"-";"-";4;1;3
benwillig;"-";1;"-";"-";1
bjornbillen;"-";2;3;"-";4
"bruno-zanotti";1;1;3;"-";4
dhx;2;1;1;1;4
dzungtran89;1;3;1;"-";5
hcbayram;1;2;1;"-";4
hegenator;1;1;3;"-";4
jado95;1;"-";2;2;4
khoivo1601;1;1;3;"-";4
miquelalzanillas;2;1;1;"-";3
oyale;"-";"-";2;3;4
pasculorente;1;"-";3;1;4
patel1008b;"-";"-";5;"-";2
rafamarpe;2;"-";2;"-";3
remytms;1;1;2;1;4
renzo1974;"-";"-";1;2;3
skeller1;1;3;1;"-";5
smemon786;1;"-";4;"-";3
sswapnesh;"-";"-";1;4;5
valentincastravete;1;"-";1;2;4
AMhadhbi;3;"-";1;"-";3
AlbertCabedo;"-";"-";4;"-";2
"BT-ojossen";"-";"-";3;"-";2
"BT-tpiric";"-";"-";"-";"-";0
Bilbonet;2;1;1;"-";3
Camille0907;2;2;"-";"-";3
DonatasV;2;1;"-";1;3
"Du-ma";"-";1;1;2;4
Ismaw34;2;1;1;"-";3
JonathanStein;1;"-";1;"-";2
JuaniFreedoo;1;1;1;"-";3
KNVx;2;"-";1;1;3
Kosaaaaa;3;"-";"-";"-";2
MeetKD;"-";"-";"-";4;4
MihranThalhath;1;1;2;"-";3
Misteur54;2;"-";"-";"-";1
P4R;3;"-";"-";"-";2
Shamsidinkhon;2;1;"-";"-";2
SilvioGregorini;"-";"-";"-";"-";0
SiscoCS;1;1;2;"-";3
TheCloneMaster;"-";"-";4;"-";2
"agent-z28";"-";"-";"-";"-";0
amcor;1;"-";1;1;3
"amh-mw";1;"-";3;"-";3
anedisi;"-";"-";3;"-";2
apineux;"-";1;"-";2;3
badbole;1;1;"-";"-";2
"dani-xtendoo";2;1;"-";"-";2
domenicostragapede;3;1;"-";"-";3
"dsidorenkovas-rgbconsulting";"-";"-";"-";"-";0
eilimrib;2;"-";2;"-";3
extrememicro;"-";"-";2;2;3
farazbdm;1;1;1;"-";3
foutoucour;"-";"-";"-";"-";0
hoangtiendung070797;1;"-";1;1;3
iaranburu;3;"-";"-";"-";2
"ikapasi-initos";3;"-";"-";1;3
janverb;"-";"-";"-";"-";0
javierjcf;1;1;2;"-";3
jesus01x;"-";"-";"-";"-";0
jo541;1;1;2;"-";3
jonerikceberio;1;"-";3;"-";3
larmar;"-";"-";"-";"-";0
llacroix;"-";1;2;1;3
mdietrichc2c;"-";"-";"-";"-";0
meigallodixital;"-";1;1;"-";2
mikevhe18;"-";"-";"-";"-";0
mrgoetz;2;"-";2;"-";3
"niboo-ave";2;"-";1;"-";2
pankk;"-";"-";"-";3;3
"paulius-sladkevicius";1;"-";1;"-";2
payen000;1;1;1;1;4
racielperdomo1993;1;"-";3;"-";3
ramiadavid;3;1;"-";"-";3
rauferdeveloper;1;1;"-";2;4
reinka;"-";"-";"-";"-";0
saralb9;2;1;"-";1;3
tupaq;3;1;"-";"-";3
vimalpatelserpentcs;1;1;"-";2;4
websavetnik;2;"-";"-";"-";1
AlessandroSkab;2;"-";"-";"-";1
AntonioMariaVigliotti;"-";"-";2;1;2
AsierAcedo;2;"-";"-";"-";1
"BT-mgomez";"-";"-";"-";3;3
BertVGroenendael;3;"-";"-";"-";2
"Chanakya-SerpentCS";"-";1;"-";"-";1
"Chandresh-SerpentCS";1;"-";"-";"-";1
Daemo00;"-";"-";2;1;2
FrancoMaxime;1;"-";1;1;3
GillesTephaneMeyomesse;"-";"-";"-";"-";0
JosDeGraeve;"-";"-";"-";2;2
JrAdhoc;"-";"-";2;1;2
MTantin;2;"-";1;"-";2
"Mat-moran";"-";"-";3;"-";2
OSevangelist;"-";"-";3;"-";2
RujiaL;"-";"-";"-";1;1
SkiBY;"-";1;1;1;3
SodexisTeam;1;1;"-";"-";2
"Tonow-c2c";"-";"-";"-";"-";0
Yenthe666;"-";"-";2;1;2
"a-willem";1;"-";"-";2;3
acalmett;"-";"-";"-";3;3
"ae-landoo";"-";"-";2;1;2
agb80;"-";"-";"-";"-";0
amkarthik;"-";"-";3;"-";2
benbrich;"-";"-";"-";3;3
blaskurain;"-";"-";3;"-";2
"carlos-domatix";"-";"-";"-";"-";0
cesarlr;"-";"-";1;1;2
daniloferreira;1;1;1;"-";3
davidtranhp;1;"-";"-";1;2
"deu-dev";"-";"-";"-";"-";0
dkubiak789;1;1;1;"-";3
dochse;2;"-";"-";"-";1
epanisset;"-";"-";3;"-";2
gabrielcardoso21;1;"-";"-";"-";1
gcobachoesment;1;"-";1;"-";2
hbto;"-";"-";2;1;2
hussain;1;"-";2;"-";2
jappi00;"-";"-";2;1;2
jaredkipe;"-";1;"-";"-";1
jeroenev;2;"-";1;"-";2
jonasbuchholz;1;"-";2;"-";2
kimirondon;"-";"-";1;2;3
"luis-ron";"-";"-";"-";3;3
luistorresm;"-";1;"-";2;3
maiolif;1;"-";1;1;3
"marco-marchiori";"-";"-";"-";3;3
michotm;2;"-";"-";"-";1
mmarchpunt;2;"-";"-";"-";1
mpanarin;"-";"-";"-";"-";0
ntodorova;"-";"-";"-";"-";0
"olaf-wagner";"-";"-";3;"-";2
olmoscristianraul;2;"-";"-";"-";1
ovnicraft;"-";"-";"-";1;1
pedropote;1;"-";1;"-";2
phuctranfxvn;"-";1;1;"-";2
"polimex-lgeorgiev";1;"-";1;"-";2
prakashjain;"-";"-";3;"-";2
qtheuret;"-";"-";"-";"-";0
"rajpatel2240-odoo";2;"-";"-";"-";1
rb3606;"-";"-";3;"-";2
rcerrillo2;"-";1;2;"-";2
rquevedo;2;"-";"-";"-";1
ruuter;1;1;"-";"-";2
sadamo;"-";"-";"-";3;3
"schout-it";2;"-";1;"-";2
sebastiken;"-";"-";"-";"-";0
"serpentcs-dev1";"-";"-";"-";"-";0
sinerkiaid;1;1;"-";1;3
sugapablo;1;1;1;"-";3
tfossoul;"-";"-";2;1;2
vdewulf;"-";"-";3;"-";2
"vib-adhoc";2;1;"-";"-";2
"vincent-cowboy";"-";"-";2;1;2
watthanun;"-";"-";"-";"-";0
whulshof;1;"-";"-";"-";1
xavigutipujol;1;"-";"-";1;2
yibudak;2;"-";"-";1;2
yucer;"-";"-";"-";"-";0
"BT-cjimeno";1;"-";1;"-";2
"BT-cserra";"-";"-";2;"-";1
"BT-fgarbely";"-";"-";1;1;2
"BT-jstein";"-";"-";1;1;2
"BT-ssteiner";"-";"-";1;1;2
"Bart-dh";"-";"-";"-";2;2
BlommaertsEdwin;1;"-";1;"-";2
Bmessiazy;"-";"-";2;"-";1
Carlos1Leon;1;"-";"-";"-";1
ChristianSantamaria;1;"-";"-";"-";1
DarkoNikolovski;"-";"-";"-";"-";0
EBII;"-";"-";"-";"-";0
"FFernandez-PlanetaTIC";"-";"-";"-";"-";0
JHernandezConinpe;1;1;"-";"-";2
JSeguiN97;1;"-";"-";"-";1
JonathanNEMRY;"-";"-";"-";"-";0
JorgeJuarezCasai;1;1;"-";"-";2
JuanjoA;1;"-";"-";1;2
JudeSafo;1;"-";1;"-";2
LESTRAT21;"-";"-";"-";2;2
Maralai;"-";"-";2;"-";1
Meisolsson;"-";"-";"-";2;2
MiguelPoyatos;"-";"-";"-";2;2
Mohammadrezafah;1;"-";"-";"-";1
OsoTranquilo;"-";"-";"-";1;1
PNurm;1;"-";1;"-";2
PaulGoubert;"-";"-";"-";2;2
RobinetDenisAcsone;1;"-";1;"-";2
Ryoko04;1;"-";"-";"-";1
Soukainaalhaddan;1;"-";"-";"-";1
TimLai125;"-";"-";"-";"-";0
Tino480;"-";"-";"-";"-";0
"Trivedi-Vacha-SerpentCS";"-";"-";"-";"-";0
Vicenteagf;2;"-";"-";"-";1
Zar21;"-";2;"-";"-";2
acastillo456;1;"-";"-";"-";1
"aj-openfire";1;"-";"-";"-";1
albingilles;1;"-";1;"-";2
anandkansagra;"-";"-";"-";"-";0
andreparames;"-";"-";"-";"-";0
andreschenkels;"-";"-";2;"-";1
angedras;"-";"-";"-";"-";0
asaunier;"-";"-";"-";"-";0
athifbinu;1;"-";"-";"-";1
bjeficent;"-";"-";"-";"-";0
bluisknot;1;"-";"-";"-";1
bodi000;"-";"-";"-";"-";0
brendapaniagua;"-";"-";"-";2;2
cbeddies;"-";"-";"-";2;2
"celm1990-sh";"-";"-";1;1;2
cyrilgdn;"-";"-";"-";"-";0
dammaksalma;"-";"-";"-";"-";0
dariodelzozzo;"-";"-";"-";2;2
davejames;1;"-";"-";"-";1
desdelinux;"-";"-";"-";2;2
digitalsatori;"-";"-";1;"-";1
eabquina;2;"-";"-";"-";1
eduardgm;"-";"-";"-";2;2
eicher31;"-";"-";"-";2;2
ellbristow;1;"-";1;"-";2
fdesmottes;1;"-";"-";1;2
"flook-chaiwat";"-";"-";"-";"-";0
frannetkia;2;"-";"-";"-";1
gabrielo77;"-";"-";"-";"-";0
gediminasvenc;"-";"-";2;"-";1
georginacicerchia;"-";"-";1;1;2
gjotten;"-";"-";"-";2;2
glauco70;"-";"-";"-";"-";0
gtorresemmanuel;2;"-";"-";"-";1
gustavovalverde;"-";"-";"-";"-";0
heiarere1;1;"-";"-";"-";1
hhgabelgaard;"-";"-";"-";"-";0
hieulucky111;"-";"-";"-";2;2
holdenrehg;"-";2;"-";"-";2
hzh0292;"-";"-";"-";"-";0
ibraimFer;1;"-";1;"-";2
imanie383;"-";"-";2;"-";1
jackjack82;"-";"-";"-";"-";0
janikvonrotz;"-";"-";"-";1;1
japarici;1;"-";"-";"-";1
"jeroen-vet";"-";1;"-";"-";1
"john-herholz-dt";"-";"-";2;"-";1
jonisunz;"-";2;"-";"-";2
josepmy;1;1;"-";"-";2
jweste;"-";"-";"-";"-";0
kaerdsar;"-";"-";"-";"-";0
kenayagi;"-";"-";"-";2;2
kitsuneeesan;1;"-";"-";"-";1
kmagusiak;1;"-";1;"-";2
konykon;1;"-";"-";"-";1
"laetitia-gangloff";"-";"-";"-";"-";0
leNeo;1;"-";"-";"-";1
lieblinger;1;1;"-";"-";2
llabusch93;"-";1;"-";"-";1
lluisgustavoreis;"-";"-";1;1;2
ludolelarge;"-";"-";"-";"-";0
luismalta;"-";"-";"-";"-";0
luisplanes;1;"-";1;"-";2
manuelviejo;1;"-";"-";"-";1
mathieuOdobescu;1;1;"-";"-";2
mattiolato98;"-";1;"-";1;2
