Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;137;142;10;480;756
ForgeFlow;53;66;14;176;297
camptocamp;31;42;6;119;157
akretion;28;31;7;105;241
ursais;21;20;7;20;105
Escodoo;16;12;2;50;150
acsone;13;23;4;23;104
SirTakobi;12;17;1;48;87
corporatehub;10;9;1;4;34
ilyasProgrammer;8;13;1;40;101
elego;7;11;2;21;56
"adhoc-dev";6;12;2;30;53
hbrunn;5;3;1;16;31
"landoo-es";5;8;1;10;33
tegin;5;4;2;6;33
"vauxoo-dev";5;7;3;21;25
yankinmax;5;6;1;26;28
Engenere;4;2;2;6;21
cetmix;4;3;2;67;39
"ecosoft-odoo";4;4;2;8;57
kmee;4;14;2;29;29
nimarosa;4;2;1;22;70
Studio73;3;1;2;5;19
cubells;3;3;1;17;18
efatto;3;2;1;7;26
fdegrave;3;3;1;3;15
flachica;3;2;1;4;47
moduon;3;2;2;20;27
rousseldenis;3;4;1;"-";9
"trevi-software";3;5;1;3;30
