User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,121,111,3.459,1.747,1.928
rousseldenis,119,76,970,585,703
MiquelRForgeFlow,241,247,386,514,796
simahawk,120,107,616,416,559
victoralmau,273,245,218,241,517
legalsylvain,68,52,462,296,378
rvalyi,45,39,506,285,353
etobella,89,89,382,303,421
marcelsavegnago,84,65,417,249,344
chienandalu,122,113,166,429,566
dreispt,52,45,528,143,218
AaronHForgeFlow,35,18,333,358,400
LoisRForgeFlow,90,84,333,258,370
HaraldPanten,-,-,466,252,274
ivantodorovich,64,46,226,311,380
rafaelbn,5,3,488,157,184
sbidoul,98,79,329,115,222
sebalix,70,57,162,230,308
francesco-ooops,-,-,350,143,162
ao-landoo,109,103,214,48,176
CarlosRoca13,99,80,85,157,256
cesar-tecnativa,67,41,173,127,189
alexis-via,74,78,161,35,134
antoniospneto,39,33,118,176,226
renatonlima,74,63,106,122,204
tafaRU,15,16,172,125,158
kittiu,36,20,183,64,104
sergio-teruel,59,54,81,103,174
yankinmax,57,31,123,72,122
eLBati,37,18,108,99,133
TheMule71,27,15,146,86,118
StefanRijnhart,11,12,109,138,164
elvise,-,-,214,67,82
manuelregidor,81,77,88,17,112
oca-clabot,-,-,270,-,16
flotho,12,5,106,135,154
alexey-pelykh,46,46,115,41,105
SirTakobi,51,31,98,76,124
ajaniszewska-dev,17,7,37,188,205
gurneyalex,23,17,87,119,150
carlosdauden,27,21,37,157,189
olgamarcocb,92,77,8,57,146
HviorForgeFlow,41,20,103,73,110
yajo,23,22,96,84,121
JasminSForgeFlow,92,58,48,23,98
albariera,29,27,56,111,151
JordiBForgeFlow,29,16,92,42,73
matteoopenf,11,5,111,82,101
dsolanki-initos,21,3,148,32,52
TDu,30,29,34,98,138
sebastienbeau,25,18,96,51,84
nimarosa,15,12,144,23,51
Shide,42,35,47,65,113
GSLabIt,22,14,86,64,92
feketemihai,48,33,83,21,70
ernestotejeda,34,32,62,61,107
felipemotter,9,7,31,140,156
leemannd,11,3,63,107,121
lmignon,13,16,86,48,77
hbrunn,25,24,57,41,78
ValentinVinagre,8,8,66,97,116
