Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.269,1.409,16,3.571,6.465
ForgeFlow,865,1.018,29,2.475,4.536
camptocamp,384,497,16,1.489,2.052
acsone,366,480,22,899,2.617
akretion,357,462,16,1.258,2.810
tegin,262,280,5,629,1.322
ursais,204,260,26,547,1.496
NextERP-Romania,146,162,4,53,579
landoo-es,134,146,1,202,867
vauxoo-dev,131,148,11,214,333
ecosoft-odoo,116,160,6,319,1.027
Escodoo,113,134,3,385,995
sygel-technology,109,116,3,298,899
moduon,70,86,2,271,515
legalsylvain,69,113,1,196,557
Engenere,57,74,2,268,572
Studio73,54,66,9,196,489
corporatehub,54,55,1,14,248
kmee,51,99,5,226,479
yankinmax,49,67,1,211,413
tranngocson1996,46,47,1,104,74
ilyasProgrammer,44,89,1,264,552
coopiteasy,43,89,5,171,367
SirTakobi,42,77,1,197,317
adhoc-dev,42,114,9,213,480
StefanRijnhart,35,36,1,76,190
TheMule71,33,46,1,164,361
commitsun,33,48,4,16,123
gurneyalex,32,34,1,73,135
cubells,29,47,1,70,221
