Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;292;332;16;779;"1.505"
Tecnativa;274;295;11;762;"1.268"
akretion;115;144;15;411;837
camptocamp;114;149;9;404;563
acsone;101;148;12;268;728
"landoo-es";61;65;1;63;374
ursais;61;92;13;161;389
tegin;50;65;3;166;318
"ecosoft-odoo";26;49;5;82;276
nilshamerlinck;25;25;1;36;11
"sygel-technology";25;27;3;87;263
Escodoo;24;24;2;80;144
moduon;23;31;2;65;178
yankinmax;17;28;1;82;172
AntoniRomera;16;20;1;63;120
tranngocson1996;15;44;1;88;63
fredzamoabg;13;14;1;55;97
"NextERP-Romania";12;17;2;5;37
Studio73;12;12;6;40;131
florentx;10;14;1;16;30
tafaRU;10;8;1;39;69
Comunitea;9;6;3;25;99
Engenere;9;14;2;71;119
gurneyalex;9;10;1;17;31
legalsylvain;9;23;1;29;61
sonhd91;9;7;1;52;51
"Jarsa-dev";8;12;2;27;73
SimoRubi;8;7;1;21;82
TheMule71;8;7;1;33;88
commitsun;8;15;4;7;43
