Organizations;MPRs;CPRs;Users;Reviews;Cts
ForgeFlow;488;601;24;"1.403";"2.565"
Tecnativa;483;574;13;"1.454";"2.472"
akretion;212;262;15;761;"1.591"
camptocamp;202;251;10;706;"1.046"
tegin;175;203;3;449;915
acsone;166;228;16;407;"1.293"
"sygel-technology";97;106;3;276;787
ursais;89;152;15;340;655
"landoo-es";84;90;1;101;513
"ecosoft-odoo";56;81;5;185;571
Escodoo;52;65;3;201;469
moduon;51;59;2;146;337
"vauxoo-dev";36;42;9;155;246
"NextERP-Romania";35;44;4;23;126
Studio73;35;39;9;133;322
legalsylvain;30;48;1;78;207
tranngocson1996;30;46;1;98;72
nilshamerlinck;25;25;1;36;11
Engenere;24;30;2;125;209
yankinmax;24;44;1;122;249
kmee;21;28;5;121;217
commitsun;20;29;4;10;79
Comunitea;19;24;3;73;171
AntoniRomera;18;21;1;68;143
fredzamoabg;17;20;1;78;151
hbrunn;17;20;1;63;133
eLBati;14;29;1;65;161
florentx;14;18;1;19;53
gurneyalex;14;19;1;37;57
ilyasProgrammer;14;38;1;87;183
