User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;68;68;"2.454";"1.223";"1.349"
rousseldenis;93;61;810;479;578
MiquelRForgeFlow;169;185;248;368;582
simahawk;91;84;473;319;434
etobella;83;85;313;259;371
HaraldPanten;"-";"-";427;234;255
dreispt;41;34;420;124;185
rafaelbn;5;3;474;151;178
victoralmau;190;161;108;147;332
chienandalu;100;91;134;280;393
LoisRForgeFlow;60;52;268;223;299
marcelsavegnago;50;41;298;200;265
legalsylvain;50;31;285;224;279
rvalyi;21;22;350;202;247
AaronHForgeFlow;25;15;263;267;303
ivantodorovich;50;32;180;262;314
sbidoul;74;57;263;82;164
sebalix;56;49;137;189;257
"ao-landoo";90;84;158;36;142
"francesco-ooops";"-";"-";232;102;117
renatonlima;61;49;87;98;164
kittiu;35;19;152;59;96
antoniospneto;28;24;90;126;165
"oca-clabot";"-";"-";270;"-";16
CarlosRoca13;77;53;56;79;148
StefanRijnhart;10;9;101;135;157
"alexis-via";54;57;103;21;95
tafaRU;11;14;140;91;120
manuelregidor;79;71;85;16;105
gurneyalex;20;14;82;107;135
eLBati;29;14;89;76;105
olgamarcocb;92;64;8;57;133
albariera;29;27;56;110;150
yankinmax;44;24;100;43;84
flotho;6;4;82;114;130
"ajaniszewska-dev";14;4;26;159;172
"sergio-teruel";42;39;55;67;120
yajo;21;20;81;76;110
carlosdauden;22;18;37;124;153
TheMule71;20;11;104;58;84
HviorForgeFlow;32;14;79;63;92
Shide;39;34;44;56;103
ValentinVinagre;8;8;66;95;114
JordiBForgeFlow;22;11;72;36;60
elvise;"-";"-";127;37;48
sebastienbeau;19;13;81;35;61
NL66278;11;9;56;55;75
GSLabIt;20;11;68;46;70
lmignon;13;15;69;32;59
felipemotter;6;4;24;112;123
JasminSForgeFlow;65;43;26;7;63
ernestotejeda;26;26;41;50;88
matteoopenf;8;2;72;57;70
TDu;20;19;21;74;102
Saran440;21;15;41;44;70
tranngocson1996;46;30;32;29;71
hbrunn;20;17;44;25;53
mariadforgeflow;20;24;24;66;99
mmequignon;21;10;9;87;105
bosd;19;6;86;19;39
hparfr;8;9;45;68;87
"i-vyshnevska";14;12;20;69;89
moylop260;21;17;60;27;56
mbcosta;23;18;56;25;55
sbejaoui;18;19;46;18;48
SirTakobi;29;13;43;36;61
ChrisOForgeFlow;46;27;18;24;62
AntoniRomera;22;18;55;16;46
