User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;12;12;335;172;206
rousseldenis;12;6;126;112;133
simahawk;14;16;105;71;101
etobella;26;20;91;61;96
ivantodorovich;18;11;67;93;116
HaraldPanten;"-";"-";111;47;58
marcelsavegnago;17;8;75;30;51
MiquelRForgeFlow;20;24;27;46;80
AaronHForgeFlow;3;2;45;56;66
"francesco-ooops";"-";"-";84;23;32
rvalyi;1;2;57;40;51
elvise;"-";"-";72;18;26
legalsylvain;7;7;39;30;46
LoisRForgeFlow;12;10;21;41;59
chienandalu;14;16;22;29;53
olgamarcocb;40;17;2;18;43
CarlosRoca13;28;14;18;19;43
dreispt;2;2;40;30;40
moylop260;12;11;34;15;35
albariera;10;10;19;32;50
victoralmau;20;17;14;17;42
kittiu;9;4;31;14;27
HviorForgeFlow;7;4;24;22;34
SirTakobi;9;4;27;17;29
sbidoul;4;4;38;7;19
rafaelbn;"-";"-";42;13;19
manuelregidor;16;13;17;6;27
"ao-landoo";10;11;17;13;31
eLBati;4;3;10;22;30
hbrunn;7;6;20;10;23
sebalix;3;1;10;30;36
YvanDotet;15;14;11;4;25
renatonlima;13;12;5;12;30
NL66278;"-";"-";12;24;27
StefanRijnhart;1;"-";18;20;25
patrickrwilson;5;2;23;7;16
JuanyDForgeflow;12;7;10;8;22
carlosdauden;5;6;2;24;34
luisg123v;1;1;10;24;29
tafaRU;2;1;20;11;18
AshishHirapara;5;2;8;19;26
jesusVMayor;10;4;3;17;26
GSLabIt;2;3;15;13;21
"alexis-via";11;5;9;3;14
JordiMForgeFlow;9;11;6;6;22
OpenCode;"-";"-";16;10;14
guewen;1;2;9;19;25
"sergio-teruel";7;2;8;14;21
flotho;3;1;14;8;14
frahikLV;6;4;8;9;18
"Kev-Roche";4;2;8;12;19
TDu;1;4;5;13;20
hparfr;"-";"-";11;16;19
yankinmax;8;3;6;8;16
"ivs-cetmix";9;5;4;5;15
Shide;7;7;5;6;18
angelgarciadelachica;8;8;8;1;15
"ferran-S73";1;3;19;2;10
mymage;6;10;7;1;16
yajo;4;3;9;8;16
ghost;9;1;10;"-";7
hirokibastos;10;4;3;6;15
jcoux;7;4;4;9;18
sergiocorato;6;1;10;6;13
bosd;3;2;16;1;9
"dsolanki-initos";7;"-";10;6;12
tarteo;4;3;7;9;17
Saran440;4;1;10;4;10
brian10048;3;3;16;"-";9
feketemihai;2;3;13;1;9
matteoopenf;"-";"-";10;10;13
"luc-demeyer";4;4;8;4;13
"ajaniszewska-dev";4;2;2;10;15
flachica;9;4;5;2;11
GabbasovDinar;3;1;11;4;10
JoanMForgeFlow;3;2;5;8;14
SilvioC2C;2;1;5;11;16
TheMule71;3;1;8;6;12
grindtildeath;3;3;4;3;10
nimarosa;3;"-";14;1;6
ValentinVinagre;2;"-";5;11;15
antoniospneto;2;1;1;14;17
felipemotter;3;1;4;9;14
jcdrubay;4;1;11;1;7
hildickethan;"-";4;4;8;14
JordiBForgeFlow;1;"-";7;5;9
JuMiSanAr;5;4;2;5;13
acsonefho;1;"-";8;2;6
hailangvn;3;3;5;5;12
max3903;2;2;5;4;10
"ps-tubtim";1;3;1;10;15
"florian-dacosta";2;3;4;5;11
fuentes73;"-";"-";4;11;13
sebastienbeau;"-";2;7;5;10
thomaspaulb;"-";1;1;10;12
Abranes;3;2;5;4;10
ChrisOForgeFlow;5;4;3;1;9
ilyasProgrammer;3;3;6;"-";7
mariadforgeflow;1;2;1;10;14
zurawmaco;4;2;7;"-";7
"petrus-v";6;"-";5;1;6
Tardo;1;1;3;7;11
alan196;1;2;5;4;9
bizzappdev;"-";1;8;3;7
enriquemartin;1;2;"-";9;12
florentx;4;4;3;"-";8
fredzamoabg;1;3;3;3;9
jbaudoux;2;2;3;4;9
jjscarafia;"-";"-";4;7;9
"miguel-S73";2;3;6;1;8
mmequignon;2;1;1;7;10
"remi-filament";1;1;5;1;5
BernatPForgeFlow;3;3;3;2;8
LudLaf;2;2;4;3;8
gurneyalex;"-";1;4;4;7
ioans73;2;"-";2;6;9
lmignon;"-";1;3;3;6
nicomacr;2;1;4;3;7
rolandojduartem;1;2;6;2;7
"Reyes4711-S73";2;1;4;2;6
angelmoya;2;"-";4;3;6
astirpe;"-";"-";3;6;8
gdgellatly;1;"-";5;3;6
hitrosol;"-";"-";7;2;5
"hugho-ad";"-";"-";1;9;10
"i-vyshnevska";1;"-";"-";3;4
mcojocaru;5;5;"-";"-";7
"mourad-ehm";2;"-";3;5;8
sbejaoui;"-";"-";1;1;2
scigghia;2;"-";6;2;6
stananatanaela;5;5;"-";"-";7
Borruso;2;1;2;4;8
"CasVissers-360ERP";"-";"-";2;7;8
JasminSForgeFlow;"-";5;4;"-";7
PierrickBrun;"-";1;8;"-";4
andreampiovesana;"-";"-";6;2;4
ernestotejeda;1;"-";5;2;5
quentinDupont;1;"-";2;6;8
DarioLodeiros;1;1;4;2;6
"Freni-OSI";3;1;3;1;5
JorgeQuinteros;2;"-";3;2;5
RosSinch;1;"-";2;4;6
Tisho99;2;"-";1;3;5
bealdav;2;"-";"-";2;3
douglascstd;"-";"-";1;7;8
mauriciomatos96;5;"-";"-";"-";2
"royle-vietnam";1;3;2;1;6
"xAdrianC-Kernet";"-";"-";"-";7;7
"BT-rmartin";1;"-";5;"-";3
GuillemCForgeFlow;2;2;1;2;6
Rad0van;1;1;4;1;5
"andhit-r";"-";"-";2;5;6
celm1990;"-";1;2;4;6
fkantelberg;"-";"-";5;2;4
"fshah-initos";4;"-";"-";3;5
gfcapalbo;"-";"-";"-";3;3
"jfernandez-busman";"-";"-";1;6;7
kmmelcher;1;"-";5;1;4
mbcosta;1;"-";3;3;6
"tv-openbig";"-";"-";7;"-";3
weinni2000;5;"-";"-";"-";2
26hpredraglazarevic;2;"-";3;"-";3
AntoniRomera;"-";2;2;2;5
Mantux11;"-";"-";5;1;3
SicurSam;"-";"-";"-";6;6
TeoGoddet;"-";"-";4;2;4
aleuffre;1;"-";1;4;6
fernandahf;"-";1;1;4;6
"mt-software-de";1;2;3;"-";5
ntsirintanis;"-";"-";3;3;5
"sandipvyas-osi";3;"-";2;"-";3
DavidJForgeFlow;2;2;"-";"-";3
JoanSForgeFlow;"-";"-";"-";5;5
KKamaa;"-";"-";"-";5;5
Lopsanz;1;"-";1;2;4
Olageibol;2;"-";1;"-";2
SplashS;1;"-";3;"-";3
ZavarinArtem;"-";"-";3;2;4
augustodinizl;"-";"-";"-";5;5
baimont;1;1;1;"-";3
bodedra;"-";"-";"-";4;4
carmenbianca;"-";"-";4;"-";2
"damdam-s";2;"-";"-";1;2
"dependabot[bot]";2;1;1;"-";3
"espo-tony";"-";"-";1;4;5
houssine78;"-";"-";3;2;4
igallart;4;1;"-";"-";3
jordancoest;"-";"-";1;4;5
