Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;272;293;11;564;"1.028"
ForgeFlow;78;87;17;218;400
tegin;51;53;4;117;221
ursais;49;33;14;87;321
camptocamp;45;62;10;254;250
acsone;43;49;10;120;281
"ecosoft-odoo";24;39;5;63;140
"landoo-es";19;23;1;46;123
"vauxoo-dev";18;24;3;21;32
"NextERP-Romania";17;17;3;9;67
coopiteasy;16;22;4;44;102
akretion;14;47;8;69;158
mymage;13;22;1;29;78
TheMule71;11;15;1;38;76
StefanRijnhart;10;12;1;16;15
moduon;10;15;2;66;91
"adhoc-dev";9;21;5;32;84
"terrabit-ro";9;14;1;9;34
tafaRU;8;9;1;17;34
primes2h;7;8;1;13;37
Studio73;6;11;5;29;53
brian10048;6;6;1;21;32
ilyasProgrammer;6;16;1;36;91
Engenere;5;7;2;26;72
commitsun;5;6;2;"-";7
legalsylvain;5;14;1;31;87
"luc-demeyer";5;3;1;2;34
norlinhenrik;5;5;1;32;76
"trevi-software";5;2;1;2;40
xcgd;5;11;1;21;39
