User;CPRs;MPRs;Cts;Reviews;CI
rafamarpe;2;"-";2;"-";3
"remi-filament";"-";2;2;1;4
"tack-yabeQuartile";"-";"-";5;"-";2
vanderleiromera;"-";"-";3;2;4
AntoniRomera;1;"-";1;2;4
BankyKmitl;"-";1;3;"-";3
KKamaa;"-";"-";1;2;3
PierrickBrun;2;1;"-";"-";2
RaulOForgeFlow;"-";"-";"-";4;4
ThomasBinsfeld;"-";2;"-";"-";2
"antonio-trey";1;1;2;"-";3
bobslee;1;"-";1;1;3
crsilveira;2;"-";1;"-";2
fmdl;"-";1;3;"-";3
gdgellatly;1;"-";3;"-";3
jesusVMayor;1;"-";1;2;4
josufmcg;"-";1;3;"-";3
jwaes;2;"-";2;"-";3
lfreeke;"-";"-";"-";4;4
manuelcalerosolis;2;"-";2;"-";3
marielejeune;1;1;2;"-";3
mileo;"-";"-";"-";"-";0
"mourad-ehm";1;"-";"-";1;2
tbanevicius;1;"-";3;"-";3
yweng8111;1;2;1;"-";4
"Chandresh-OSI";1;2;"-";"-";3
JuaniFreedoo;1;1;1;"-";3
JulianaPoudou;"-";"-";"-";3;3
Kiplangatdan;1;1;1;"-";3
OriolVForgeFlow;"-";3;"-";"-";3
PatosMarco;"-";"-";3;"-";2
RLeeOSI;"-";"-";2;"-";1
"Reyes4711-S73";1;"-";"-";1;2
SkiBY;"-";1;1;1;3
"a-willem";1;"-";"-";2;3
"amh-mw";1;"-";2;"-";2
atchuthan;1;"-";1;1;3
bjornbillen;"-";1;2;"-";2
blaskurain;"-";"-";3;"-";2
braisab;1;2;"-";"-";3
clementmbr;"-";"-";2;"-";1
colmeirin;2;"-";"-";"-";1
eantones;1;"-";1;"-";2
enricostano;"-";"-";3;"-";2
feketemihai;2;"-";"-";"-";1
florentx;2;"-";"-";1;2
"fshah-initos";1;"-";1;1;3
hussain;1;"-";2;"-";2
igallart;2;"-";"-";"-";1
javierjcf;"-";1;2;"-";2
"kh-badep";"-";"-";"-";"-";0
maiolif;1;"-";1;1;3
"miguel-S73";"-";1;2;"-";2
