User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;176;166;"4.409";"2.218";"2.464"
rousseldenis;143;103;"1.446";774;927
MiquelRForgeFlow;277;279;458;604;921
victoralmau;414;378;342;326;743
simahawk;145;125;675;481;644
rvalyi;55;46;702;393;473
legalsylvain;109;73;563;367;474
marcelsavegnago;117;98;509;290;421
dreispt;61;53;704;180;267
etobella;97;97;450;365;493
chienandalu;141;130;187;524;680
AaronHForgeFlow;40;22;384;404;452
LoisRForgeFlow;101;94;365;303;426
sbidoul;120;96;426;140;268
ivantodorovich;78;64;254;370;459
rafaelbn;5;3;575;192;221
sebalix;96;81;256;301;408
HaraldPanten;"-";"-";481;258;280
"francesco-ooops";"-";"-";506;200;222
"ao-landoo";123;116;264;66;209
"oca-clabot";"-";"-";557;"-";24
CarlosRoca13;118;102;116;201;325
antoniospneto;58;46;180;221;288
"alexis-via";95;99;211;49;172
nimarosa;32;25;326;77;126
"sergio-teruel";94;80;113;148;248
"cesar-tecnativa";67;46;173;127;194
StefanRijnhart;26;28;164;184;230
tafaRU;22;20;212;150;189
renatonlima;77;67;119;132;219
"alexey-pelykh";59;58;176;78;157
kittiu;36;35;218;78;134
feketemihai;91;81;165;23;126
TheMule71;31;22;183;128;169
yankinmax;66;46;141;96;162
gurneyalex;35;30;131;157;204
moylop260;96;89;89;54;162
eLBati;44;23;131;103;144
elvise;"-";"-";256;77;93
TDu;52;39;54;168;222
carlosdauden;33;28;50;205;246
SirTakobi;70;42;110;92;153
HviorForgeFlow;52;27;130;90;136
yajo;29;27;119;104;147
thomaspaulb;20;18;125;94;128
JasminSForgeFlow;103;81;61;33;132
manuelregidor;87;80;94;18;117
lmignon;25;28;128;80;124
"ajaniszewska-dev";22;9;44;199;219
JordiBForgeFlow;34;21;127;52;90
flotho;12;5;110;135;154
NL66278;23;15;91;106;135
matteoopenf;14;6;149;91;113
mileo;45;24;102;43;84
olgamarcocb;92;82;8;57;151
Saran440;44;24;85;71;111
ghost;58;19;129;"-";38
max3903;25;22;108;63;100
GSLabIt;25;19;99;81;115
albariera;29;29;56;111;153
leemannd;14;7;77;123;143
sebastienbeau;29;20;105;61;97
felipemotter;13;10;38;160;180
"dsolanki-initos";21;3;156;35;55
jbaudoux;14;13;53;125;149
hbrunn;31;28;63;47;89
Shide;44;37;49;73;124
hparfr;14;16;69;98;126
"i-vyshnevska";22;17;29;113;140
JuanyDForgeflow;52;27;49;67;108
grindtildeath;32;26;50;69;108
ilyasProgrammer;73;38;43;26;79
bosd;22;6;135;35;57
sergiocorato;38;22;65;56;92
mmequignon;27;11;24;124;145
ValentinVinagre;8;8;76;98;118
ernestotejeda;34;33;62;61;108
