Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,119,131,11,326,533
akretion,64,97,13,127,330
camptocamp,46,72,13,214,317
Studio73,44,48,11,251,345
ForgeFlow,35,67,12,147,226
HeliconiaIO,34,(null),1,99,319
moduon,29,48,8,177,183
Escodoo,25,35,4,108,157
acsone,21,56,10,105,142
BinhexTeam,12,36,6,64,151
BizzAppDev-Systems,12,12,1,41,78
jbaudoux,12,14,1,35,68
adhoc-dev,10,33,5,69,103
dixmit,10,20,2,34,58
sygel-technology,10,4,3,41,67
coopiteasy,9,7,4,29,52
qrtl,9,24,1,70,88
PyTech-SRL,8,11,4,31,69
APSL,7,4,3,14,55
Borruso,7,11,1,21,47
grap,7,7,1,21,47
Engenere,6,5,1,16,37
factorlibre,6,12,2,48,62
Chionne27,5,(null),1,12,24
ecosoft-odoo,5,6,2,15,41
jcoux,5,6,1,23,26
terrabit-ro,5,7,1,6,22
StefanRijnhart,4,4,1,11,19
TheMule71,4,5,1,5,24
hbrunn,4,4,1,11,27
