User,CI,CPRs,MPRs,Cts,Reviews
royle-vietnam,5,2,2,2,(null)
vedant-agravat,5,(null),(null),3,3
Jaimermaccione,5,(null),(null),(null),5
hildickethan,5,1,(null),1,3
tarteo,5,1,1,1,2
eLBati,4,3,(null),6,(null)
mathben,4,1,(null),10,(null)
em230418,4,4,(null),6,(null)
np-oerp,4,2,(null),6,(null)
mkoeck,4,4,(null),3,(null)
tishmen,4,(null),1,7,(null)
FranzPoize,4,1,1,3,(null)
remytms,4,2,(null),1,2
sergiocorato,4,2,(null),1,2
maisim,4,(null),(null),4,2
mmircoli-nexapp,4,(null),(null),4,2
anajuaristi,4,(null),(null),3,2
apami0111,4,1,1,2,1
baguenth,4,1,2,2,(null)
ced-adhoc,4,1,(null),(null),3
yanchirino,4,(null),1,2,2
Kev-Roche,4,1,(null),(null),3
Larsq1,4,(null),(null),(null),4
anusriNPS,4,(null),2,1,1
crsilveira,4,(null),(null),(null),4
david-banon-tecnativa,4,1,1,(null),2
desdelinux,4,(null),(null),1,3
zamberjo,4,1,(null),1,2
mathieudelva,3,5,1,(null),(null)
feg-adhoc,3,3,(null),1,(null)
PieterPaulussen,3,2,(null),4,(null)
jcadhoc,3,5,(null),(null),1
CILC98,3,3,(null),2,(null)
ThiagoMForgeFlow,3,(null),(null),4,1
squpvc,3,3,(null),2,(null)
GSLabIt,3,(null),(null),1,2
Honeyxilia,3,2,(null),(null),2
chaule97,3,3,(null),2,(null)
metaminux,3,1,(null),2,1
quoc-pn,3,(null),(null),4,1
therbin200,3,2,(null),3,(null)
trisdoan,3,1,(null),2,1
FernandoRomera,3,2,1,1,(null)
GiuTav,3,1,(null),3,(null)
JohanEndare,3,3,(null),1,(null)
alvaroGC-S73,3,2,2,(null),(null)
epieters,3,(null),(null),2,2
hhgabelgaard,3,2,(null),2,(null)
lfreeke,3,2,(null),1,1
nicolas-delbovier-acsone,3,1,1,1,(null)
nicomacr,3,(null),(null),1,2
oihane,3,1,(null),2,1
polchampion,3,(null),(null),2,2
sebastienbeau,3,(null),1,2,1
tupaq,3,1,1,2,(null)
xtanuiha,3,2,1,1,(null)
yaracchi,3,2,2,(null),(null)
DjodyKort,3,1,(null),(null),2
Dranyel-Bosd,3,(null),(null),(null),3
Hudson5577,3,(null),3,(null),(null)
MohamedOsman7,3,(null),(null),(null),3
Pani-k-folk,3,1,(null),(null),2
andyjquijada,3,1,1,1,(null)
ap-wtioit,3,(null),(null),1,2
brian10048,3,1,(null),1,1
dnplkndll,3,1,1,1,(null)
imlopes,3,(null),1,(null),2
mbcosta,3,(null),1,1,1
rebeca-martin,3,1,1,1,(null)
wouitmil,3,1,(null),1,1
DinhVanKhanh-HCMC,2,6,(null),(null),(null)
MateuGForgeFlow,2,(null),(null),(null),2
danielalvaro1999,2,3,(null),(null),(null)
fsmw,2,5,(null),(null),(null)
kittiu,2,(null),(null),4,(null)
PaulaMForgeFlow,2,2,1,(null),(null)
Tardo,2,(null),(null),4,(null)
Vicent-S73,2,4,(null),(null),(null)
andyengit,2,2,(null),1,(null)
ivilata,2,(null),(null),4,(null)
jesusVMayor,2,3,(null),(null),(null)
micheledic,2,(null),(null),2,1
thienvh332,2,2,(null),1,(null)
AdrianaSaiz,2,1,(null),(null),1
AndreMarcos,2,1,(null),1,(null)
JulioFabio,2,2,1,(null),(null)
KKamaa,2,2,(null),1,(null)
Kimkhoi3010,2,3,(null),(null),(null)
acysos,2,1,(null),1,(null)
adnankkapasi,2,(null),(null),3,(null)
adrip-s73,2,2,(null),1,(null)
antonyht27,2,1,(null),2,(null)
bhanquier,2,1,(null),1,(null)
cubells,2,(null),(null),1,1
fredericgrall,2,(null),2,(null),(null)
hector-fe-dev,2,3,(null),(null),(null)
hieulucky111,2,(null),(null),2,1
jans23,2,(null),(null),2,1
kevinfranciscokf1,2,1,(null),1,(null)
len-foss,2,(null),(null),1,1
manuelcalerosolis,2,(null),(null),3,(null)
matteonext,2,(null),1,1,(null)
maxhe2014,2,1,(null),1,(null)
monen17,2,(null),(null),2,1
nguyenminhchien,2,3,(null),(null),(null)
ntsirintanis,2,(null),1,1,(null)
patrickt-oforce,2,2,(null),(null),1
ppyczko,2,(null),(null),2,1
trixocom,2,1,(null),2,(null)
xbentan,2,(null),(null),3,(null)
yp-oerp,2,(null),1,2,(null)
AlexPForgeFlow,2,(null),(null),(null),2
AnizR,2,(null),(null),(null),2
Bearnard21,2,(null),(null),1,1
Daemo00,2,1,(null),(null),1
GarethGloSystems,2,(null),1,1,(null)
Jord38,2,(null),(null),1,1
MaurizioPellegrinet,2,(null),(null),(null),2
PaoloYam,2,(null),(null),(null),2
RabbitJon-S73,2,1,(null),1,(null)
Slivi-sliv,2,1,(null),1,(null)
VBNext,2,1,(null),(null),1
Xino61122,2,(null),2,(null),(null)
arantxa-s73,2,1,1,(null),(null)
aritzolea,2,1,(null),(null),1
atangaraj,2,(null),(null),(null),2
atchuthan,2,(null),(null),(null),2
baptiste-n42,2,(null),1,(null),1
cristianPanaite,2,1,1,(null),(null)
cuongnmtm,2,1,(null),1,(null)
dalonsod,2,1,(null),(null),1
eantones,2,(null),(null),(null),2
ebauza,2,(null),(null),1,1
ecino,2,(null),(null),(null),2
enriquemartin,2,1,(null),(null),1
fcvalgar,2,(null),(null),(null),2
flachica,2,1,(null),1,(null)
gfcapalbo,2,(null),(null),(null),2
jarmokortetjarvi,2,(null),(null),(null),2
javierizaca,2,(null),(null),(null),2
jjscarafia,2,(null),(null),1,1
laiaespinosa,2,(null),(null),1,1
lbarry-apsl,2,(null),(null),1,1
lnol,2,1,(null),1,(null)
m-deura,2,(null),(null),(null),2
maurochip,2,1,(null),(null),1
michelerusti,2,(null),1,1,(null)
newtratip,2,1,(null),(null),1
nimarosa,2,(null),(null),1,1
ozono,2,1,(null),1,(null)
rlimaeco,2,(null),2,(null),(null)
ryanc-me,2,(null),(null),1,1
sbiosca-s73,2,1,(null),1,(null)
stananatanaela,2,1,1,(null),(null)
xaviedoanhduy,1,2,(null),(null),(null)
florentx,1,(null),(null),(null),1
paula-fernandez-sanchez03,1,2,(null),(null),(null)
Killance,1,2,(null),(null),(null)
juppe,1,2,(null),(null),(null)
kopeyev,1,2,(null),(null),(null)
sybdeb,1,2,(null),(null),(null)
AlienAtSystem,1,(null),(null),2,(null)
Bilbonet,1,(null),(null),1,(null)
ChristianSantamaria,1,(null),(null),(null),1
FLAlvaroGomez,1,(null),(null),2,(null)
P-H-Phuc,1,(null),(null),1,(null)
Suppli360sw,1,(null),(null),2,(null)
TB-Ph35,1,(null),1,(null),(null)
Thinh240900,1,1,(null),(null),(null)
Vang-NguyenPhu,1,2,(null),(null),(null)
ajfebres,1,1,(null),(null),(null)
bjornbillen,1,(null),(null),2,(null)
brunodecoen-quatra,1,1,(null),(null),(null)
daemonblade,1,1,(null),(null),(null)
eicher31,1,(null),(null),2,(null)
emiliesoutiras,1,(null),(null),(null),1
