User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,44,40,391,361,427
MiquelRForgeFlow,43,42,137,130,190
victoralmau,79,78,49,105,199
carlos-lopez-tecnativa,39,42,48,119,174
rvalyi,26,22,112,61,99
rousseldenis,6,4,106,62,79
etobella,32,20,53,68,101
LoisRForgeFlow,6,4,84,79,95
BhaveshHeliconia,66,18,49,18,51
kobros-tech,16,8,87,42,63
dreispt,11,5,78,56,73
sebalix,10,8,70,64,84
AaronHForgeFlow,11,14,54,61,86
StefanRijnhart,8,10,52,58,78
jbaudoux,5,3,37,75,86
Saran440,21,14,45,20,45
legalsylvain,11,5,55,27,43
juancarlosonate-tecnativa,12,11,28,42,62
AlexPForgeFlow,10,11,32,37,57
sbidoul,6,8,43,29,46
JordiMForgeFlow,6,8,23,44,59
JordiBForgeFlow,5,7,55,14,31
alexis-via,14,22,35,7,39
hbrunn,20,15,20,23,47
chienandalu,21,6,9,40,54
lmignon,10,9,29,22,40
simahawk,6,7,44,18,34
pilarvargas-tecnativa,8,15,13,39,60
ThiagoMForgeFlow,18,22,11,21,51
francesco-ooops,-,-,52,17,24
peluko00,14,4,18,27,39
acsonefho,3,3,30,26,36
antoniospneto,4,1,23,33,41
marcelsavegnago,1,1,8,55,60
bosd,2,4,38,18,30
xaviedoanhduy,7,6,20,30,43
JasminSForgeFlow,13,12,13,19,38
florian-dacosta,11,12,20,13,33
BernatObrador,10,9,14,21,37
AungKoKoLin1997,11,7,13,19,33
odooNextev,11,1,25,11,20
sergio-teruel,4,6,7,33,44
CRogos,3,2,28,17,26
TumbaoJu,22,24,3,-,30
ppyczko,11,6,8,23,35
HaraldPanten,-,-,28,19,24
mt-software-de,5,3,8,30,38
kluna1998,12,12,11,9,28
eLBati,5,5,23,6,18
petrus-v,4,2,11,23,30
rjaraspearhead,5,5,10,19,29
TheMule71,2,2,19,16,24
DavidJForgeFlow,8,8,11,9,23
yostashiro,-,-,9,29,32
cvinh,1,2,13,20,27
CarlosRoca13,6,8,8,13,26
carlosdauden,2,3,6,24,31
Christian-RB,4,4,13,12,22
brian10048,5,2,16,11,19
feketemihai,8,9,17,-,16
luisDIXMIT,1,3,5,26,32
mpascuall,1,-,3,31,34
Shide,10,4,8,9,19
EmilioPascual,5,6,8,12,23
matteoopenf,-,-,24,7,12
mmequignon,5,2,3,21,27
hparfr,1,1,10,17,22
aleuffre,2,3,7,16,23
NL66278,1,-,9,17,21
ValentinVinagre,3,2,10,10,17
dnplkndll,1,2,11,11,17
lbarry-apsl,6,1,10,7,14
LauraCForgeFlow,10,4,3,7,16
ivantodorovich,-,2,6,17,21
sergiocorato,1,-,5,11,14
alan196,6,1,10,6,13
manuelregidor,4,4,9,7,16
primes2h,-,3,12,8,14
HviorForgeFlow,-,-,10,11,14
TDu,2,1,2,15,19
gdgellatly,3,1,7,11,16
netlify[bot],-,-,22,-,5
rafaelbn,-,-,11,11,14
twalter-c2c,3,1,-,18,21
CristianoMafraJunior,4,3,6,6,13
ivs-cetmix,5,3,12,1,10
natuan9,9,2,8,2,10
quentinDupont,2,3,9,6,13
renatonlima,2,-,5,14,18
PieterPaulussen,2,1,15,2,8
bizzappdev,-,3,4,1,6
chaule97,6,4,5,5,14
henrybackman,3,2,3,11,16
matteonext,3,-,4,12,16
max3903,5,2,11,2,10
nobuQuartile,3,4,4,9,17
yankinmax,4,3,2,9,15
GSLabIt,2,2,2,13,18
dhongu,3,4,11,1,10
rlimaeco,6,6,4,2,12
acpMicrocom,-,13,-,-,13
baguenth,3,2,8,3,10
vvrossem,3,-,4,7,11
IsabelAForgeFlow,7,7,2,1,12
Kimkhoi3010,2,6,2,5,14
leemannd,2,1,5,9,14
santostelmo,5,2,3,6,12
celm1990,2,2,4,8,13
rrebollo,5,2,2,6,12
sbejaoui,6,1,3,4,9
AnizR,2,1,4,6,10
Borruso,4,-,7,1,6
MarinaAForgeFlow,3,1,3,7,11
MeritxellAForgeFlow,1,-,3,11,14
StephaneMangin,1,-,8,5,9
Tisho99,-,5,3,7,14
WesleyOliveira98,2,1,4,6,10
flotho,1,1,3,7,11
jdidderen,7,2,4,2,9
remi-filament,-,4,6,5,11
sergiobstoj,2,1,7,1,6
yajo,3,4,6,1,9
AndreuOForgeFlow,6,-,1,7,10
bguillot,2,-,7,3,7
mbcosta,2,2,4,5,10
rov-adhoc,1,1,4,8,12
AlvaroRM11,1,-,4,8,11
Chionne27,8,2,1,2,8
JoanSForgeFlow,2,1,-,9,11
absal-smile,3,1,3,1,5
wlin-kencove,-,-,4,9,11
ArnauCForgeFlow,1,7,3,1,11
Pani-k-folk,2,1,-,9,11
SilvioC2C,1,2,-,8,11
SimaElisabeta,6,6,-,-,8
TheerayutEncoder,-,-,1,11,12
giarve,1,-,6,5,8
micheledic,2,1,5,3,8
Arubaru86,2,1,7,1,6
GabbasovDinar,-,3,-,8,11
SamyBrahimi,-,-,-,11,11
SirAionTech,-,2,-,-,2
antonag32,1,2,5,3,8
anusriNPS,3,1,3,3,7
astirpe,5,2,1,2,7
fcvalgar,-,-,1,10,11
grindtildeath,1,-,3,4,7
gurneyalex,1,1,3,5,9
kaynnan,1,3,2,3,8
len-foss,5,2,1,3,8
moylop260,-,1,5,5,8
vehi-invitu,7,-,1,3,7
xavier-bouquiaux,4,4,1,1,8
BitStab,3,-,3,4,7
CasVissers-360ERP,-,-,1,9,10
JessBrandl,-,1,-,9,10
augusto-weiss,3,2,3,2,7
ikus060,1,-,5,4,7
kanda999,-,-,-,10,10
patrickt-oforce,2,1,4,1,5
trisdoan,1,4,4,-,7
BT-dlagin,-,3,4,2,7
DucTruongKomit,4,-,2,-,3
Kev-Roche,3,1,-,3,6
LorenzoC0,2,-,2,4,7
PicchiSeba,3,-,2,3,6
antoniodavid,2,1,6,-,5
cuongnmtm,2,-,1,5,7
diggy128,4,-,4,1,5
mourad-ehm,-,2,1,6,9
ByteMeAsap,1,-,-,-,1
SylweKra,3,3,1,1,7
alexey-pelykh,-,-,3,5,7
eantones,-,-,3,5,7
hitrosol,2,1,3,2,6
innovara,3,-,3,2,5
nimarosa,-,-,5,3,5
Gokac9,6,-,-,-,2
SodexisTeam,1,-,1,-,2
andreampiovesana,-,-,-,7,7
bealdav,1,-,1,5,7
chrisandrewmann,-,-,2,5,6
lfreeke,-,-,1,6,7
luisg123v,-,-,1,6,7
matiasperalta1,3,-,3,-,3
mike-cetmix,-,-,5,2,4
parvezqureshi,4,-,3,-,4
polchampion,-,-,5,2,4
stenext,-,-,-,7,7
zamberjo,-,1,-,6,7
Anxo82,2,1,2,-,4
MaurizioPellegrinet,-,-,-,6,6
MohamedOsman7,1,3,2,-,5
SonCrits,-,5,-,-,5
Tardo,1,1,2,2,5
adasatorres,3,-,1,-,3
aritzolea,1,-,3,1,4
ced-adhoc,-,-,5,1,3
coleste,-,-,-,6,6
cyrilmanuel,-,-,-,6,6
florentx,-,1,1,3,5
jado95,2,-,2,1,4
mcojocaru,4,1,-,-,3
mymage,-,-,2,4,5
nilshamerlinck,1,1,1,3,6
santiagordz,2,2,2,-,5
thienvh332,-,2,-,-,2
thomaspaulb,-,-,2,1,2
veryberry,-,-,-,6,6
victor-champonnois,-,1,3,1,4
AEstLo,-,-,3,2,4
AinohaBH,-,-,1,4,5
BertVGroenendael,-,1,-,-,1
ChrisOForgeFlow,-,3,-,-,3
GuillemCForgeFlow,2,-,1,2,4
JavierVazquezQubiQ,-,-,1,4,5
MarcoCalcagni,-,-,4,1,3
Ricardoalso,-,3,-,2,5
TB-Ph35,4,-,-,-,2
Wvven,-,-,-,5,5
Youstina-NR,4,-,-,-,2
amh-mw,-,-,3,2,4
arantxa-s73,2,-,2,-,3
baptiste-n42,1,1,2,-,3
bodedra,-,-,5,-,2
fd-oncodna,2,1,2,-,4
huguesdk,-,-,1,4,5
imlopes,1,1,-,1,3
ioans73,-,-,3,2,4
jordi-josc,1,-,2,1,3
kafai-lam,3,-,-,2,4
kamladodiyaserpentcs,2,-,3,-,3
kevinkhao,1,-,2,-,2
lef-adhoc,-,4,1,-,5
mileo,1,-,2,1,3
nayatec,-,3,1,1,5
norlinhenrik,-,-,2,2,3
pablo-cort-s73,-,1,1,3,5
pierre-halleux,4,1,-,-,3
psugne,2,1,1,-,3
rdualsam,3,1,1,-,4
syci,2,-,1,-,2
