User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,403,393,4175,3403,3881
victoralmau,557,537,395,745,1325
jbaudoux,168,133,654,957,1129
carlos-lopez-tecnativa,280,272,227,792,1096
rousseldenis,98,45,1269,898,989
MiquelRForgeFlow,229,226,590,657,922
etobella,201,183,664,697,920
marcelsavegnago,56,32,253,699,754
rvalyi,249,182,964,501,730
LoisRForgeFlow,72,71,650,624,729
BhaveshHeliconia,520,288,546,321,655
StefanRijnhart,68,63,417,552,644
simahawk,172,151,653,409,599
pilarvargas-tecnativa,171,170,171,401,597
ivantodorovich,64,54,209,482,558
sebalix,101,81,276,401,509
AaronHForgeFlow,74,58,298,392,476
CarlosRoca13,118,102,143,283,408
yostashiro,2,1,112,394,407
lmignon,72,62,302,308,396
sbidoul,97,72,415,284,386
legalsylvain,65,48,418,298,375
hbrunn,97,71,210,278,373
antoniospneto,56,39,222,311,372
chienandalu,74,73,49,278,367
dreispt,65,33,350,274,334
luisDIXMIT,71,61,77,248,326
JordiMForgeFlow,53,52,146,233,304
sergio-teruel,54,44,95,233,294
juancarlosonate-tecnativa,80,63,116,198,281
peluko00,88,76,194,180,279
kobros-tech,131,39,572,188,262
CristianoMafraJunior,92,70,85,171,260
alexis-via,168,156,318,60,247
ValentinVinagre,18,12,134,216,244
AungKoKoLin1997,142,80,138,135,239
EmilioPascual,52,42,90,169,228
HviorForgeFlow,21,14,269,188,223
carlosdauden,45,41,57,164,219
bizzappdev,255,107,99,82,215
mpascuall,20,14,38,189,214
mt-software-de,32,37,96,151,203
yajo,24,22,72,168,203
bosd,68,27,239,148,199
TDu,47,26,36,160,199
aleuffre,32,25,80,154,194
ppyczko,44,39,69,140,194
Saran440,100,77,201,90,191
rrebollo,51,35,115,136,189
SirPyTech,51,41,47,130,185
Shide,48,40,86,128,184
sbejaoui,74,63,113,97,179
mmequignon,52,31,37,135,179
renatonlima,49,33,67,128,176
BernatObrador,57,46,73,109,171
kaynnan,28,18,32,142,171
Christian-RB,26,19,111,133,168
LauraCForgeFlow,88,70,29,79,164
edescalona,59,17,190,125,163
rafaelbn,1,-,263,144,161
petrus-v,41,19,74,127,161
Tisho99,65,52,104,89,159
CRogos,41,29,158,110,158
xaviedoanhduy,70,42,91,97,157
vvrossem,47,30,34,113,156
HaraldPanten,-,-,178,141,154
florian-dacosta,48,41,100,96,154
DavidJForgeFlow,43,35,48,103,151
hparfr,12,9,43,130,149
eLBati,26,20,179,110,148
yankinmax,38,20,41,113,146
twalter-c2c,7,5,11,134,145
manuelregidor,21,20,77,102,135
lbarry-apsl,35,26,99,92,134
ivs-cetmix,10,8,176,109,133
ThiagoMForgeFlow,59,59,33,60,132
grindtildeath,55,40,61,76,131
henrybackman,19,10,11,109,127
david-banon-tecnativa,43,36,32,74,122
kanda999,4,6,7,110,121
gurneyalex,13,11,76,93,116
remi-filament,43,40,61,58,112
NL66278,20,7,82,88,109
ArnauCForgeFlow,69,60,49,33,108
ByteMeAsap,43,27,78,64,106
francesco-ooops,-,-,380,86,105
dhongu,88,82,125,2,105
AlexPForgeFlow,25,17,57,74,104
JasminSForgeFlow,32,41,45,50,103
yvaucher,5,1,170,86,102
micheledic,23,13,105,74,102
Chionne27,84,44,32,43,102
cvinh,14,4,74,85,101
santostelmo,32,17,41,72,101
leemannd,9,6,40,85,100
mbcosta,52,40,69,43,99
marielejeune,15,13,43,75,98
AnizR,21,18,36,68,97
rjaraspearhead,19,10,43,70,91
SilvioC2C,25,17,14,64,90
sergiocorato,38,16,46,60,89
JoanSForgeFlow,41,35,12,44,89
acsonefho,10,9,55,68,88
AndreuOForgeFlow,21,15,15,65,88
max3903,15,7,107,66,87
eduezerouali-tecnativa,48,27,26,47,86
kluna1998,24,21,18,56,86
nobuQuartile,17,16,22,61,86
FrancoMaxime,2,2,2,81,86
matteonext,24,8,56,64,84
dalonsod,15,11,68,60,83
WesleyOliveira98,17,14,12,61,83
JordiBForgeFlow,35,18,130,45,80
Borruso,42,24,47,43,80
Ricardoalso,24,13,15,56,78
anusriNPS,25,16,23,51,77
monen17,15,7,82,56,76
odooNextev,23,14,60,49,76
adasatorres,37,15,54,47,75
sebastienbeau,17,13,76,49,75
tarteo,21,11,53,52,75
amh-mw,18,5,43,59,75
moylop260,50,42,51,18,74
TheMule71,16,12,88,48,73
Andrii9090,23,17,50,43,72
celm1990,8,7,10,59,72
MaurizioPellegrinet,-,-,4,69,71
StephaneMangin,5,3,25,60,70
tafaRU,21,15,78,41,69
florentx,34,33,17,25,68
Gelojr,-,-,7,65,68
flotho,5,2,55,55,67
qgroulard,13,9,21,50,67
Jaimermaccione,-,-,8,64,67
primes2h,16,12,63,42,66
quentinDupont,12,16,65,38,66
DantePereyra,20,9,20,48,66
GSLabIt,9,8,8,51,65
thomaspaulb,12,9,75,42,63
giarve,39,17,33,33,62
aritzolea,11,5,20,49,62
huguesdk,29,19,71,28,61
quirino95,23,6,7,47,60
MohamedOsman7,15,11,21,40,59
fcvalgar,-,-,6,56,58
lef-adhoc,28,26,51,19,57
wlin-kencove,3,-,52,48,57
astirpe,19,24,25,24,57
eugenios73,24,17,75,25,56
andreampiovesana,4,-,33,48,56
bealdav,16,10,31,35,55
trisdoan,22,21,51,21,54
Anxo82,25,18,44,24,54
imlopes,24,15,19,30,54
Kimkhoi3010,37,24,19,20,54
mileo,10,2,21,44,54
cyrilmanuel,10,2,10,46,54
arielbarreiros96,19,14,50,28,53
GuillemCForgeFlow,5,2,14,45,53
matteoopenf,8,3,108,36,52
vincent-hatakeyama,25,22,40,19,52
len-foss,25,8,32,33,52
CLaurelB,7,8,12,38,52
jguenat,13,10,20,33,51
chaule97,26,16,29,24,50
rlimaeco,28,19,14,22,50
alexandregaldeano,8,6,4,39,50
tishmen,38,1,76,33,49
DarioLodeiros,27,22,34,16,49
FernandoRomera,21,21,29,18,49
Pani-k-folk,21,10,3,33,49
metaminux,15,7,48,30,48
PicchiSeba,23,15,26,23,48
brian10048,19,15,42,21,47
ced-adhoc,3,3,38,36,47
almumu,11,5,27,33,47
glitchov,34,24,3,14,46
mymage,11,6,29,31,46
GabbasovDinar,8,11,4,30,46
Marco-ooops,-,-,-,46,46
Mohajiro,16,10,11,28,45
dnplkndll,21,7,53,25,44
luisg123v,1,1,18,38,44
antoniodavid,22,6,36,25,42
remytms,10,3,36,30,42
ntsirintanis,14,5,10,30,42
TheerayutEncoder,10,5,14,30,42
gbrito,5,1,7,35,41
alexey-pelykh,5,3,31,29,40
