Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,135,164,9,337,582
ForgeFlow,61,87,15,183,364
akretion,48,68,9,109,286
camptocamp,34,53,10,132,192
HeliconiaIO,32,150,1,122,171
terrabit-ro,29,31,1,-,114
acsone,24,32,10,94,178
dixmit,24,16,2,69,122
moduon,20,25,4,73,109
adhoc-dev,19,9,8,127,157
APSL,16,23,5,101,135
vauxoo-dev,16,19,3,71,57
NextERP-Romania,13,14,3,-,32
sygel-technology,13,12,4,76,98
commitsun,11,12,3,1,25
grap,11,8,2,16,50
jbaudoux,11,14,1,30,43
yankinmax,10,14,1,52,62
factorlibre,9,18,3,50,59
Borruso,8,12,1,41,71
PyTech-SRL,8,11,2,20,57
efatto,8,8,1,19,46
BizzAppDev-Systems,6,4,1,21,45
astirpe,6,2,1,15,55
tafaRU,6,11,1,15,35
ursais,6,10,5,14,60
BinhexTeam,5,24,3,67,98
Escodoo,5,8,3,17,29
Kimkhoi3010,5,6,1,34,48
StefanRijnhart,5,5,1,12,28
