Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.267,1.327,11,3.239,4.981
ForgeFlow,613,716,25,1.823,2.960
akretion,370,498,18,1.011,2.375
camptocamp,305,444,23,1.317,1.692
acsone,214,330,19,861,1.626
HeliconiaIO,206,486,1,1.071,1.634
dixmit,172,178,2,561,842
APSL,162,232,6,831,1.134
sygel-technology,101,125,6,632,746
moduon,100,134,7,454,631
jbaudoux,85,101,1,250,299
PyTech-SRL,83,116,6,351,577
BinhexTeam,75,176,8,575,799
qrtl,71,94,3,474,466
BizzAppDev-Systems,70,99,1,262,449
ecosoft-odoo,66,85,5,178,418
terrabit-ro,61,65,1,2,232
hbrunn,59,79,1,236,286
adhoc-dev,54,54,12,286,529
NextERP-Romania,49,52,4,-,167
Studio73,49,98,15,257,554
StefanRijnhart,46,49,1,192,270
vauxoo-dev,42,47,7,98,102
ursais,40,84,10,86,345
Escodoo,38,64,5,160,279
grap,38,53,2,91,243
xaviedoanhduy,38,63,1,159,270
cetmix,37,47,9,223,324
Chionne27,35,69,1,182,234
factorlibre,34,60,11,177,309
