Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,147,154,9,351,592
ForgeFlow,86,82,17,259,413
akretion,83,76,10,217,446
acsone,63,66,16,202,373
camptocamp,43,76,14,213,242
dixmit,26,42,2,87,128
Escodoo,25,34,4,95,160
moduon,22,23,7,126,128
BinhexTeam,20,31,5,105,193
HeliconiaIO,16,6,1,79,188
adhoc-dev,14,17,6,48,79
grap,13,13,2,50,85
qrtl,13,18,3,45,79
APSL,11,2,4,14,68
Engenere,11,13,1,32,77
BizzAppDev-Systems,10,46,1,38,64
terrabit-ro,10,10,2,-,36
Therp,8,8,3,18,46
PyTech-SRL,7,9,2,54,71
jbaudoux,7,11,1,38,48
Anushapadinharepurakkal,6,-,1,9,38
coopiteasy,6,11,2,13,45
kencove,6,14,1,57,124
P4R,5,6,1,11,16
ecosoft-odoo,5,10,1,10,37
solvosci,5,2,4,12,17
Chionne27,4,4,1,18,35
Studio73,4,11,3,37,77
c4a8-odoo,4,2,2,9,19
factorlibre,4,10,4,37,45
