User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,48,48,376,243,317
rousseldenis,7,5,179,114,135
BhaveshHeliconia,150,32,9,10,57
ivantodorovich,2,3,52,99,111
kobros-tech,15,4,70,48,64
sebalix,17,11,53,54,76
jbaudoux,14,11,43,68,89
victoralmau,28,25,39,37,74
StefanRijnhart,5,5,59,58,73
rvalyi,12,12,54,41,64
etobella,12,17,52,37,65
carlos-lopez-tecnativa,21,15,13,67,90
simahawk,8,8,55,36,54
MiquelRForgeFlow,10,15,55,26,52
LoisRForgeFlow,4,4,55,36,49
dhongu,31,29,37,-,41
CarlosRoca13,17,8,25,43,60
bosd,16,3,35,38,51
sbidoul,7,7,47,28,45
chienandalu,15,11,8,53,71
alexis-via,23,18,27,4,32
marcelsavegnago,3,3,10,55,63
legalsylvain,8,6,35,20,35
pilarvargas-tecnativa,15,12,12,27,46
lmignon,4,3,36,21,32
AaronHForgeFlow,4,2,23,29,38
tafaRU,11,6,25,18,32
yankinmax,16,10,9,23,40
CLaurelB,5,6,11,36,48
max3903,4,2,34,15,25
dreispt,8,3,21,20,30
hbrunn,13,5,15,21,33
EmilioPascual,11,9,15,16,32
sergio-teruel,6,6,16,21,33
sergiocorato,8,8,20,15,30
HviorForgeFlow,5,2,26,18,27
JordiMForgeFlow,7,5,17,21,33
juancarlosonate-tecnativa,10,6,12,22,35
HaraldPanten,-,-,30,18,23
Saran440,10,3,20,8,19
peluko00,9,5,19,11,23
Christian-RB,3,1,21,18,25
florian-dacosta,9,7,17,12,26
moylop260,12,8,16,6,21
primes2h,6,2,19,18,27
yajo,7,5,10,22,33
carlosdauden,6,5,10,23,34
cvinh,1,-,15,27,32
antoniospneto,1,1,14,23,29
vvrossem,7,2,5,25,32
Borruso,12,8,9,10,24
dnplkndll,15,1,15,7,16
luisDIXMIT,4,7,6,23,34
TDu,2,4,7,26,34
BernatObrador,3,2,12,18,25
ValentinVinagre,3,3,13,18,26
AungKoKoLin1997,9,5,10,6,17
ced-adhoc,-,1,17,18,23
thomaspaulb,6,4,17,6,17
ThiagoMForgeFlow,14,5,7,9,20
ppyczko,9,7,8,10,23
manuelregidor,4,3,13,14,23
aleuffre,3,3,9,15,23
bizzappdev,5,7,9,7,19
francesco-ooops,-,-,27,6,11
leemannd,3,1,4,25,30
rafaelbn,-,-,18,14,18
ajaniszewska-dev,-,-,-,31,31
DarioLodeiros,10,8,8,1,15
mpascuall,-,1,8,19,23
sbejaoui,3,3,13,9,17
DavidJForgeFlow,6,5,3,12,21
Tisho99,4,6,8,8,19
matteoopenf,1,-,19,5,10
xaviedoanhduy,5,3,8,10,18
hparfr,1,1,5,18,22
quentinDupont,1,6,8,9,19
rrebollo,9,1,7,8,15
PicchiSeba,6,5,7,5,15
Ricardoalso,7,2,1,13,19
yostashiro,-,-,6,18,20
ArnauCForgeFlow,8,3,6,6,14
MaurizioPellegrinet,-,-,1,22,23
Shide,5,5,5,8,17
TheMule71,6,2,5,8,15
aritzolea,3,2,3,15,20
feketemihai,8,8,7,-,13
norlinhenrik,5,3,13,-,9
CRogos,3,-,10,8,13
SirAionTech,2,2,8,10,16
flotho,1,1,12,7,12
trisdoan,4,3,6,8,15
LauraCForgeFlow,10,5,2,4,14
huguesdk,1,1,15,1,7
mbcosta,8,5,8,-,11
rjaraspearhead,4,-,2,14,17
santostelmo,1,2,5,13,18
tarteo,8,3,5,1,9
chaule97,7,3,7,2,10
emiliesoutiras,2,-,6,12,16
StephaneMangin,1,1,4,13,17
astirpe,2,6,8,3,13
brian10048,8,4,6,1,10
clementmbr,4,1,9,3,9
eLBati,4,2,9,3,10
luisg123v,-,-,4,15,17
mav-adhoc,1,2,9,7,13
mmequignon,2,1,1,13,16
patrickt-oforce,3,2,7,5,11
thienvh332,5,1,-,11,14
Kimkhoi3010,6,5,4,2,11
antoniodavid,5,-,6,3,8
celm1990,2,2,1,12,16
danielduqma,2,6,8,1,11
ivs-cetmix,1,-,5,11,14
lef-adhoc,1,9,5,2,14
sergiobstoj,8,1,2,4,9
hoangtrann,-,-,3,13,15
nimarosa,-,-,14,2,6
rov-adhoc,1,1,6,7,11
vincent-hatakeyama,3,2,6,4,10
JasminSForgeFlow,3,4,2,6,13
kevinkhao,8,-,3,3,8
matiasperalta1,1,1,7,6,11
mt-software-de,1,1,4,9,13
GabbasovDinar,3,2,-,9,13
alexandregaldeano,6,1,1,6,10
anajuaristi,-,-,5,9,11
ecino,-,-,8,5,8
edescalona,-,-,10,4,7
extrememicro,3,3,7,1,8
florentx,3,3,5,3,10
gbrito,2,-,6,6,10
grindtildeath,3,2,2,7,12
lbarry-apsl,2,-,5,6,10
macagua,9,-,3,-,5
petrus-v,3,2,2,7,12
AlexPForgeFlow,3,-,4,6,10
adasatorres,3,-,5,5,9
amh-mw,-,-,-,12,12
arielbarreiros96,2,3,2,4,10
kluna1998,2,1,1,9,12
mileo,1,1,5,5,9
ALopez-Adhoc,-,2,6,3,7
BT-dlagin,1,3,8,-,7
FernandoRomera,2,3,6,1,8
SilvioC2C,-,-,2,10,11
geomer198,4,-,-,8,10
giarve,4,1,2,4,8
gurneyalex,-,-,6,6,8
kanda999,-,-,-,12,12
kaynnan,3,1,1,5,9
ljsalvatierra-factorlibre,2,-,7,3,7
natuan9,3,4,3,2,9
yibudak,2,-,6,3,7
Chionne27,6,1,3,1,6
Kev-Roche,1,-,2,8,10
MeritxellAForgeFlow,4,3,1,2,8
NL66278,-,1,4,4,7
RicardCForgeFlow,5,5,-,1,8
SMaciasOSI,2,2,5,1,7
SylweKra,4,1,2,4,8
alexey-pelykh,2,-,4,5,8
mb-ife,8,1,2,-,5
miquelalzanillas,-,1,4,6,9
sebastienbeau,1,-,3,4,7
AnizR,2,1,3,2,6
absal-smile,9,-,1,-,4
angelgarciadelachica,1,1,1,6,9
arantxa-s73,6,1,2,-,5
bealdav,1,1,5,2,6
ellbristow,5,-,3,-,4
jorge-luis-dev,1,-,1,7,9
luc-demeyer,2,2,4,1,6
metaminux,-,-,5,4,6
mjavint,1,-,2,7,9
ng-ife,-,-,5,5,7
unaiberis,1,3,2,2,7
victorvermot,3,2,1,4,9
CristianoMafraJunior,2,2,-,5,8
Deriman-Alonso,-,-,-,-,0
LorenzoC0,6,1,1,-,4
Murtaza-SerpentCS,-,-,2,7,8
acsonefho,4,1,2,2,6
augusto-weiss,1,-,4,3,6
baguenth,2,2,2,3,8
desdelinux,-,-,3,6,8
fernandahf,2,2,5,-,6
jcadhoc,-,-,-,8,8
nobuQuartile,-,-,2,7,8
remi-filament,1,-,2,4,6
ChristianSantamaria,2,2,3,1,6
LucasTran380381,1,2,2,3,7
Tardo,2,-,4,-,3
alan196,5,-,1,1,4
jarmokortetjarvi,3,-,3,-,3
lauradiaz22,-,-,2,6,7
luc-adhoc,-,-,-,8,8
mourad-ehm,3,-,5,-,4
rdualsam,5,-,-,-,2
vdewulf,1,-,5,2,5
El-khamisi,1,-,3,3,6
GSLabIt,1,2,1,3,7
PieterPaulussen,1,-,2,4,6
aisopuro,-,1,5,-,3
antonioburic,1,2,-,3,6
benwillig,1,1,-,3,5
fkantelberg,1,-,4,-,3
henrybackman,-,-,-,7,7
imlopes,3,1,2,1,5
marielejeune,-,-,5,1,3
micheledic,3,1,2,1,5
miguelpadin,3,2,-,-,4
nicolascol,-,-,4,3,5
rven,3,-,4,-,4
twalter-c2c,2,-,-,4,5
AntoniRomera,1,-,2,3,5
BT-dmoreno,-,1,-,5,6
MarcoCalcagni,-,-,4,2,4
SimaElisabeta,3,3,-,-,5
SodexisTeam,1,1,2,1,4
arthru,2,1,2,-,4
baptiste-n42,3,-,2,-,3
damdam-s,5,-,1,-,3
edlopen,2,1,-,3,5
em230418,2,2,2,-,5
gaelTorrecillas,4,-,1,1,4
miguel-S73,-,-,2,4,5
milleniumkid,3,-,1,-,3
paradoxxxzero,2,1,-,1,3
sherpya,1,-,5,-,3
stananatanaela,3,2,-,-,4
victor-champonnois,4,1,1,-,4
AlvaroRM11,3,-,-,1,3
ArantxaSudon,-,-,1,4,5
BT-dherreros,2,-,1,1,3
BT-mgomez,-,-,3,2,4
BertVGroenendael,1,1,-,-,2
Dranyel-Bosd,-,-,-,5,5
Jaimermaccione,-,-,-,5,5
JordiToledo,3,-,1,-,3
WesleyOliveira98,2,1,1,1,4
baf-adhoc,-,-,1,4,5
corredato,1,-,2,1,3
dalonsod,-,-,2,3,4
jado95,1,-,1,3,5
kimirondon,3,-,1,-,3
len-foss,1,1,1,1,4
loida-vm,-,-,-,5,5
marcelofrare,-,-,-,5,5
matthieusaison,2,2,1,-,4
odooNextev,2,-,2,1,4
qgroulard,2,1,-,2,4
rlizana,2,1,1,1,4
zamberjo,-,-,-,5,5
AinohaBH,-,-,-,4,4
BT-rmartin,-,-,1,3,4
ChristophAbenthungCibex,3,1,-,-,3
ChuwenSun,4,-,-,-,2
Daemo00,3,-,-,1,3
DucTruongKomit,1,-,2,1,3
Gokac9,-,-,-,-,0
Guidomadormo,3,-,-,-,2
NICO-SOLUTIONS,-,1,2,-,2
Tiago370,1,-,-,-,1
aaladro-kernet,-,1,3,-,3
anmarmo1,-,-,3,1,3
anusriNPS,2,-,2,-,3
ayushin,-,-,4,-,2
benstannard,-,-,-,4,4
dependabot[bot],2,2,-,-,3
dhx,2,-,1,1,3
dsolanki-initos,-,1,-,-,1
gdemarco2esseti,-,-,-,4,4
hitrosol,-,-,2,-,1
jelenapoblet,-,-,3,1,3
juanparmer,2,-,-,-,1
matteonext,2,1,1,-,3
mmrondon,-,2,1,-,3
njeudy,-,-,1,3,4
ntsirintanis,2,-,2,-,3
ramiadavid,-,-,2,2,3
salvorapi,-,2,1,1,4
wlin-kencove,-,-,1,3,4
Aldeigja,-,-,-,3,3
ByteMeAsap,-,1,1,1,3
DorianMAG,-,1,1,1,3
JordiBForgeFlow,1,-,1,-,2
Killance,-,-,-,3,3
Mounir-bouhyouh,1,-,1,-,2
TB-Ph35,1,-,-,2,3
TheerayutEncoder,1,1,-,-,2
Wodran14,2,-,-,-,1
abenzbiria,-,-,3,-,2
acpMicrocom,-,1,-,-,1
adrienpeiffer,1,-,2,-,2
aliiahmed20,2,-,-,-,1
are-agilebg,1,2,-,-,3
baimont,1,-,1,-,2
cav-adhoc,1,-,1,1,3
cem-adhoc,-,2,1,-,3
chrisb-c01,-,1,-,2,3
coleste,-,-,1,2,3
dc-oerp,-,-,2,1,2
diamondnguyenkc,-,3,-,-,3
diggy128,-,-,1,-,1
ericchew87,-,-,3,-,2
fb-ife,-,-,1,2,3
fcvalgar,-,-,-,3,3
fmdl,-,-,-,3,3
franco-leyes,2,-,1,-,2
ghost,-,-,3,-,2
glitchov,1,1,-,-,2
houzefa-abba,1,1,-,1,3
hs-oerp,-,-,3,-,2
jdebetaz,2,-,1,-,2
jdidderen,2,-,-,1,2
jmartinacu,3,-,-,-,2
joepsanders,-,1,1,1,3
labour-angus,-,3,-,-,3
lk-eska,-,-,3,-,2
luis-ron,-,-,-,3,3
madecsmile,-,-,-,3,3
maisim,2,-,-,1,2
maq-adhoc,2,-,-,-,1
miikanissi,-,-,1,2,3
navarrorico,1,-,1,1,3
newtratip,-,-,-,3,3
nguyenvietlam0640,-,3,-,-,3
rafnixg,2,-,-,-,1
regispirard,-,1,1,1,3
remytms,1,1,-,1,3
renatonlima,-,-,-,3,3
risto42,-,-,3,-,2
robyf70,-,-,-,2,2
vehi-invitu,1,1,1,-,3
wouitmil,1,-,1,1,3
wpichler,2,-,1,-,2
xavier-bouquiaux,1,1,-,1,3
ygol,-,-,2,1,2
Abimael1321,-,-,1,1,2
Ahz9619,-,-,-,2,2
ApenOdoo,-,-,2,-,1
AurelijaNorvaisaite,-,-,2,-,1
BT-anieto,-,-,-,2,2
FLAlvaroGomez,1,-,-,1,2
FreezeS,1,1,-,-,2
GuillemCForgeFlow,-,-,-,2,2
JessBrandl,1,-,-,1,2
JoanSForgeFlow,-,-,-,2,2
Katulos,1,1,-,-,2
LuciaMarchalFactorLibre,2,-,-,-,1
MRomeera,-,-,-,2,2
MS-OSI,1,-,-,-,1
MarinaAForgeFlow,1,1,-,-,2
QuocDuong1306,-,1,-,-,1
Raul-S73,1,-,-,-,1
RemiFr82,-,1,-,-,1
Ricardo-MC,-,-,-,2,2
RodrigoBM,-,-,-,2,2
Sanazzzmi,-,-,1,1,2
SaraDForgeFlow,2,-,-,-,1
StuartJMackintosh,-,-,2,-,1
TennyMkt,-,-,2,-,1
VoicuStefan2001,1,1,-,-,2
abhinavvaidya-tsd,-,-,1,1,2
achulii,1,1,-,-,2
acysos,-,-,-,1,1
