Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,719,755,10,1.842,2.949
ForgeFlow,356,423,24,1.103,1.878
akretion,217,285,18,605,1.378
camptocamp,134,209,19,713,753
dixmit,106,113,2,314,474
HeliconiaIO,101,447,1,648,800
acsone,100,171,13,398,812
APSL,88,129,6,502,679
moduon,68,85,5,270,387
sygel-technology,49,69,6,334,384
terrabit-ro,47,49,1,-,178
ecosoft-odoo,43,59,5,115,269
adhoc-dev,40,27,11,213,363
NextERP-Romania,39,42,4,-,130
jbaudoux,39,49,1,80,100
BinhexTeam,36,105,7,280,387
qrtl,36,48,3,256,230
PyTech-SRL,28,47,6,108,233
grap,27,46,2,50,153
hbrunn,27,46,1,133,138
ursais,27,53,9,46,223
StefanRijnhart,26,44,1,128,153
xaviedoanhduy,26,33,1,126,187
Escodoo,23,35,3,98,155
vauxoo-dev,22,24,6,91,84
factorlibre,21,44,6,115,202
kencove,21,86,3,213,446
microcom,21,1,1,40,89
Kimkhoi3010,20,17,1,79,121
c4a8-odoo,16,29,3,69,154
