Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,144,144,10,377,543
akretion,72,72,8,146,426
ForgeFlow,68,64,15,200,314
camptocamp,67,87,15,198,367
acsone,51,68,12,196,348
HeliconiaIO,42,9,1,203,348
PyTech-SRL,25,31,6,119,136
BinhexTeam,23,19,6,138,197
dixmit,23,17,2,99,139
jbaudoux,22,24,1,70,97
qrtl,22,17,3,81,119
APSL,20,44,5,131,145
sygel-technology,20,16,5,66,117
BizzAppDev-Systems,19,32,1,98,123
cetmix,15,10,7,47,105
florentx,12,14,1,38,64
lefilament,12,13,1,49,31
mt-software-de,11,11,1,22,72
hbrunn,10,13,1,44,62
moduon,10,14,3,39,70
StefanRijnhart,9,2,1,26,51
Studio73,9,6,7,36,96
commitsun,9,12,2,5,37
terrabit-ro,9,10,1,1,33
ecosoft-odoo,8,5,2,34,57
grindtildeath,8,10,1,29,48
adhoc-dev,6,12,6,35,68
c4a8-odoo,6,5,2,15,26
ursais,6,19,1,27,56
vauxoo-dev,6,8,1,5,9
