User,CPRs,MPRs,Cts,Reviews,CI
FernandoRomera,10,11,16,6,24
GabbasovDinar,6,10,1,26,39
Jaimermaccione,-,-,4,40,42
LorenzoC0,16,9,7,6,22
Pani-k-folk,11,4,2,26,35
andreampiovesana,4,-,13,27,33
bguillot,4,3,22,11,21
jdidderen,13,5,14,10,22
luisg123v,1,1,10,30,35
MeritxellAForgeFlow,7,5,5,22,32
mike-cetmix,6,5,12,17,28
FrancoMaxime,-,-,-,40,40
matiasperalta1,9,2,15,8,17
BetoRaja,12,6,9,7,19
IsabelAForgeFlow,15,11,9,3,21
geomer198,6,3,10,19,28
luc-demeyer,8,6,11,10,22
remytms,5,1,16,16,23
RicardCForgeFlow,12,15,1,10,29
TheerayutEncoder,3,4,6,23,31
acysos,4,1,28,3,11
ajaniszewska-dev,1,-,-,36,37
cubells,12,5,11,9,21
eugenios73,10,5,11,10,21
ntsirintanis,4,1,10,21,27
MarinaAForgeFlow,9,8,9,10,24
coleste,-,-,3,34,36
ellbristow,9,2,13,7,16
em230418,9,3,16,8,18
fcvalgar,-,-,4,33,35
herminioelx,11,6,15,1,14
vdewulf,1,1,32,3,11
len-foss,10,5,5,14,24
GuillemCForgeFlow,3,-,7,20,24
LucasTran380381,6,12,5,10,27
clementmbr,4,2,12,14,21
david-s73,9,6,15,2,15
diggy128,6,2,21,3,12
mourad-ehm,7,4,13,10,20
paradoxxxzero,9,7,5,7,19
vehi-invitu,12,1,8,12,19
acpMicrocom,-,21,-,-,21
danielduqma,6,11,12,4,21
mymage,4,3,10,16,24
emiliesoutiras,4,-,9,18,23
guewen,-,-,10,22,25
jguenat,5,3,13,10,19
JoanSForgeFlow,6,3,1,19,25
cuongnmtm,2,1,19,7,14
cyrilmanuel,4,1,3,22,27
kittiu,-,-,7,14,17
BT-dmoreno,-,1,14,14,19
JessBrandl,3,3,1,23,29
Marco-ooops,-,-,-,30,30
ioans73,1,1,14,14,20
SodexisTeam,3,4,6,4,12
javierjcf,10,5,11,1,12
wouitmil,6,2,4,12,18
damdam-s,10,1,4,11,17
Alexgars73,11,1,12,1,9
augusto-weiss,5,3,9,7,15
hoangtrann,-,-,5,20,22
MateuGForgeFlow,9,4,3,10,19
NICO-SOLUTIONS,1,1,10,12,17
barkat-matthias,10,-,1,10,14
dannyadair,7,3,14,1,10
ecino,3,-,14,7,12
gbrito,4,1,7,14,20
rven,6,3,12,4,13
unaiberis,4,6,7,3,14
Ricardo-MC,8,4,3,8,17
anajuaristi,-,-,11,14,17
miquelalzanillas,1,1,11,11,16
parvezqureshi,12,-,11,-,7
victorvermot,7,3,1,13,20
Abranes,5,2,1,14,19
baimont,12,-,1,1,5
ljsalvatierra-factorlibre,3,-,10,4,9
mariusnick,12,12,-,-,15
netlify[bot],-,-,24,-,5
quirino95,11,3,2,6,14
samirGuesmi,11,-,5,7,13
BT-dlagin,1,7,12,3,14
Tardo,4,2,9,5,12
almumu,3,3,5,11,18
benwillig,6,3,3,5,12
jcadhoc,4,3,1,12,18
ka-dm,3,-,14,5,10
mcojocaru,12,10,-,-,13
yibudak,5,2,7,4,11
CasVissers-360ERP,-,-,1,21,22
Dranyel-Bosd,-,-,1,21,22
antonioburic,4,4,4,5,13
hitrosol,3,1,13,3,9
jans23,7,2,6,5,12
kafai-lam,9,3,3,5,13
polchampion,-,-,14,8,12
theangryangel,2,2,8,10,16
fkantelberg,3,2,6,4,10
miguel-S73,1,2,7,11,17
rodmad85,2,-,10,6,11
stananatanaela,11,9,-,-,12
tv-openbig,-,-,20,1,5
victor-champonnois,5,2,6,3,10
SimaElisabeta,10,10,-,-,13
TB-Ph35,13,1,-,4,9
hailangvn,4,2,5,9,15
BertVGroenendael,3,4,-,-,6
ChristianSantamaria,5,2,4,7,13
DucTruongKomit,5,1,5,3,8
JordiToledo,11,5,1,-,9
Mohajiro,5,2,9,1,8
Wvven,4,-,4,11,15
corredato,5,-,7,3,8
felipemotter,5,4,2,7,15
innovara,4,3,10,2,10
jesusVMayor,8,8,2,-,12
qgroulard,3,4,-,12,18
xavier-bouquiaux,6,6,1,2,11
ypapouin,5,1,3,7,12
zamberjo,-,1,-,18,19
Bilbonet,3,1,6,7,12
Deriman-Alonso,-,4,-,-,4
chrisandrewmann,2,2,9,5,11
dora-jurcevic,4,-,5,6,10
ferran-S73,-,1,6,8,11
macagua,10,-,5,1,6
nayatec,1,4,5,8,15
ng-ife,1,1,7,7,12
polqubiq,3,3,9,3,11
extrememicro,3,3,9,2,10
fredericgrall,2,4,7,1,9
jado95,3,2,4,6,12
joepsanders,1,2,5,9,14
DorianMAG,1,3,2,9,14
Reyes4711-S73,2,-,7,6,10
SMaciasOSI,3,2,5,2,8
achulii,1,5,-,-,6
anmarmo1,-,-,8,8,11
jarmokortetjarvi,4,2,6,2,8
luis-ron,-,-,2,14,15
mb-ife,10,1,4,1,7
renda-dev,-,4,2,4,9
sergioM-S73,9,2,3,1,8
youring,1,-,7,8,12
zeroheure,8,1,3,1,7
AinohaBH,-,-,3,12,14
MarcoCalcagni,-,-,9,6,9
TelmoSuarez,5,3,3,1,8
agent-z28,1,1,6,6,10
baptiste-n42,4,2,5,1,7
dalonsofl,3,2,3,3,8
denaux,1,1,8,5,10
joelkm,4,1,5,2,7
mathieudelva,5,1,1,-,4
mcodes-o,2,-,7,5,9
michelerusti,5,1,4,5,10
mjavint,2,-,4,7,10
nicolasramossomit,12,-,1,1,5
ramiadavid,2,5,4,2,10
rdualsam,9,1,1,-,5
toita86,3,1,-,3,6
youelEl,8,-,3,-,5
Arubaru86,3,1,8,2,8
MaxyMoos,6,2,6,-,7
VBNext,-,-,6,8,10
ayushin,1,-,11,2,6
flaenen,7,-,6,1,6
jordi-josc,2,-,5,6,10
newtratip,-,-,-,12,12
oadiazp,2,1,4,6,10
oihane,4,3,1,5,11
pablo-cort-s73,3,2,3,4,9
sara-castello,-,-,-,14,14
AJamal13,1,-,10,2,6
ALopez-Adhoc,-,2,7,3,8
Daemo00,4,1,1,7,11
IJOL,-,1,8,2,6
Raul-S73,6,-,3,-,4
SiscoIngeos,4,2,1,4,9
Tiago370,6,1,-,-,3
antonag32,2,2,6,3,9
carlossainznetkia,4,-,2,4,7
cem-adhoc,3,5,4,-,9
dhx,3,1,6,1,6
eantones,1,1,3,8,12
geraldo29,4,-,8,-,5
hugosantosred,3,3,2,5,11
jesanmor,4,-,1,8,11
kanisorn-kate,2,-,1,10,12
lfreeke,1,-,3,7,10
maisim,5,2,2,4,10
mde-scopea,3,2,7,-,6
miikanissi,5,2,2,4,10
nico-foodles,4,2,-,7,11
nikul-serpentcs,2,1,8,1,6
pierre-halleux,6,4,1,2,9
Aldeigja,1,-,-,11,12
CiroBoxHub,-,-,9,3,6
Murtaza-OSI,1,-,-,5,6
angelgarciadelachica,2,2,1,6,10
desdelinux,-,-,4,8,10
feg-adhoc,3,-,4,4,8
gdemarco2esseti,-,-,-,12,12
hnavarro-kernet,-,-,12,-,3
houssine78,-,-,2,10,11
luc-adhoc,-,-,1,11,12
rpsjr,-,1,2,9,11
syci,2,-,4,3,6
timloic,7,-,3,-,4
BT-dherreros,2,-,5,3,7
Gokac9,6,-,-,-,2
MaPaLo76,3,3,5,-,7
MiguelPoyatos,3,1,2,3,7
Rad0van,-,-,7,-,3
SamyBrahimi,-,-,-,11,11
SandraNetkia,-,-,-,11,11
Stephanvandenberg,1,-,5,4,7
Vicent-S73,4,2,4,-,6
Wodran14,2,2,1,-,4
anasassi119,2,1,6,-,5
arnaudlayec,3,-,1,6,9
houzefa-abba,2,2,4,3,8
ikus060,1,-,6,4,7
jaenbox,1,1,1,8,11
jeromeguerriat-msf,1,2,3,1,6
lauradiaz22,-,-,2,9,10
lmarion-source,2,1,2,1,5
map-240221,3,1,4,2,7
miguelpadin,5,2,-,-,4
nilshamerlinck,1,1,4,5,9
ps-tubtim,-,-,-,6,6
rlizana,2,1,1,5,8
sbiosca-s73,-,1,3,3,6
sebduch73,-,-,5,6,8
stephansainleger,-,1,9,1,5
tobiaszehntner,5,1,3,1,6
widadelbekkouri-odoo,8,-,-,-,3
9184Lucky,3,1,6,-,5
AurelijaNorvaisaite,-,-,3,7,9
BitStab,3,-,3,4,7
BurkhalterY,2,2,6,-,6
Camille0907,-,-,3,7,9
EdgarRetes,-,2,-,-,2
Gerloav,4,-,1,2,5
Luca-Policastro,7,-,-,2,5
Neitherkx,-,-,-,3,3
OSevangelist,1,-,1,8,10
RodrigoBM,-,-,5,4,6
are-agilebg,2,2,3,2,7
crrodrigueztrujillo,6,-,-,1,3
douglascstd,-,-,4,6,8
emmanuel-ferdman,2,1,4,2,6
gaelTorrecillas,4,-,1,4,7
halbtonjazz,4,1,1,4,8
javierizaca,-,-,-,10,10
jorge-luis-dev,1,-,1,7,9
lav-adhoc,2,-,4,3,6
lorenzoallegrucci,2,-,3,3,6
marcelofrare,-,-,-,10,10
matteotrubini,4,2,2,2,7
nguyenminhchien,-,1,1,3,5
raumschmiede-joshuaL,3,3,2,2,8
AntoniRomera,1,1,2,5,8
ArantxaSudon,-,-,1,8,9
AtaponDew,3,-,4,2,6
ChrisOForgeFlow,-,4,-,-,4
Gelojr,-,-,-,9,9
MS-OSI,6,-,-,1,3
Murtaza-SerpentCS,-,-,2,7,8
PaoloYam,2,-,-,6,7
Qlasta,6,-,1,-,3
aisopuro,-,1,5,-,3
alfredoavanzosc,4,-,-,-,2
baf-adhoc,-,-,3,6,8
carmenbianca,-,3,-,-,3
fernandahf,2,2,5,-,6
hussain,1,1,4,3,7
ivancandelas,2,1,5,-,5
jelenapoblet,-,-,7,2,5
maq-adhoc,4,-,1,2,5
