Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,889,933,11,2.323,3.619
ForgeFlow,436,508,24,1.341,2.221
akretion,251,365,18,737,1.645
camptocamp,175,256,21,896,985
APSL,128,164,6,616,894
HeliconiaIO,124,471,1,738,989
dixmit,123,140,2,372,568
acsone,117,211,14,522,971
moduon,79,97,5,330,452
sygel-technology,62,87,6,455,517
jbaudoux,59,76,1,168,188
ecosoft-odoo,52,73,5,133,327
terrabit-ro,52,54,1,1,198
NextERP-Romania,48,49,4,-,161
qrtl,45,61,3,318,293
adhoc-dev,44,36,11,229,406
hbrunn,43,63,1,185,192
BinhexTeam,42,131,8,365,520
PyTech-SRL,38,60,6,153,304
StefanRijnhart,35,46,1,165,200
grap,33,50,2,59,181
ursais,33,58,10,55,268
vauxoo-dev,29,31,6,92,88
xaviedoanhduy,29,50,1,141,208
Studio73,27,77,10,142,287
factorlibre,26,47,8,127,234
Escodoo,24,37,3,105,167
kencove,24,93,3,249,510
c4a8-odoo,23,39,3,102,220
microcom,21,1,1,40,90
