Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,169,177,7,520,594
camptocamp,79,93,17,314,396
ForgeFlow,69,70,14,224,330
HeliconiaIO,43,2,1,147,378
akretion,38,69,9,106,306
APSL,26,6,6,54,138
Escodoo,25,25,3,80,148
moduon,22,25,8,134,162
acsone,21,48,10,140,200
ecosoft-odoo,20,19,2,31,97
BinhexTeam,11,24,6,82,105
PyTech-SRL,10,15,4,51,90
dixmit,10,12,2,50,88
qrtl,10,35,1,129,102
Studio73,9,8,6,34,79
mt-software-de,8,4,1,17,36
StefanRijnhart,7,5,1,19,31
grindtildeath,7,11,1,48,37
lefilament,7,6,1,27,18
sygel-technology,7,7,4,42,26
c4a8-odoo,6,6,2,14,44
BizzAppDev-Systems,5,21,1,14,28
astirpe,5,3,1,5,19
factorlibre,5,8,2,32,32
imlopes,5,9,1,33,21
ivantodorovich,5,5,1,7,10
jbaudoux,5,7,1,9,18
ByteMeAsap,4,-,1,9,30
Chionne27,4,11,1,13,53
Engenere,4,9,2,24,39
