Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,170,178,11,481,670
ForgeFlow,80,85,11,238,343
camptocamp,41,47,11,183,232
APSL,40,35,5,114,215
akretion,34,80,8,132,267
HeliconiaIO,23,24,1,90,189
jbaudoux,20,27,1,88,88
acsone,17,40,9,124,159
dixmit,17,27,2,58,94
hbrunn,16,17,1,52,54
Studio73,14,22,6,49,121
sygel-technology,13,18,4,121,133
moduon,11,12,4,60,65
xcgd,11,12,2,14,40
PyTech-SRL,10,13,3,45,71
NextERP-Romania,9,7,2,-,31
StefanRijnhart,9,2,1,37,47
ecosoft-odoo,9,14,1,18,58
qrtl,9,13,2,62,63
c4a8-odoo,7,10,2,33,66
cetmix,7,3,4,26,62
vauxoo-dev,7,7,1,1,4
BinhexTeam,6,26,3,85,133
Chionne27,6,9,1,19,33
grap,6,4,1,9,28
mcojocaru,6,5,1,-,24
ursais,6,5,2,9,45
bosd,5,12,1,14,46
factorlibre,5,3,3,12,32
lefilament,5,5,1,14,13
