User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,4450,458,447,4799,3912
victoralmau,1432,597,576,422,811
jbaudoux,1229,190,156,737,1032
carlos-lopez-tecnativa,1178,291,285,234,861
etobella,1068,227,210,787,815
rousseldenis,1060,118,46,1352,966
MiquelRForgeFlow,961,232,227,601,694
rvalyi,912,291,214,1181,647
marcelsavegnago,878,96,57,311,794
StefanRijnhart,747,76,72,492,644
LoisRForgeFlow,738,72,72,651,632
BhaveshHeliconia,725,553,342,651,334
simahawk,657,177,164,706,453
ivantodorovich,653,83,73,273,554
pilarvargas-tecnativa,649,195,192,192,429
sebalix,585,113,94,315,463
AaronHForgeFlow,550,94,64,337,458
yostashiro,493,6,3,138,476
legalsylvain,465,77,60,505,374
antoniospneto,428,61,45,265,359
chienandalu,425,87,75,54,333
CarlosRoca13,421,125,109,145,289
lmignon,418,81,69,328,322
hbrunn,418,112,79,258,312
sbidoul,414,104,78,467,304
dreispt,406,85,40,406,337
luisDIXMIT,385,79,67,85,300
CristianoMafraJunior,367,111,86,101,260
JordiMForgeFlow,340,67,60,160,259
alexis-via,335,241,217,424,82
sergio-teruel,311,59,47,102,246
juancarlosonate-tecnativa,297,89,66,117,211
peluko00,293,90,83,218,186
AungKoKoLin1997,291,189,103,179,161
kobros-tech,287,137,44,627,206
rrebollo,274,68,45,184,207
EmilioPascual,269,61,48,112,203
TDu,267,60,48,66,203
HviorForgeFlow,264,25,18,332,223
ValentinVinagre,260,19,14,141,230
bizzappdev,249,276,131,109,91
bosd,244,107,36,292,181
kaynnan,244,44,31,53,199
yankinmax,240,57,27,49,198
carlosdauden,240,47,46,63,179
yajo,237,25,23,82,200
mmequignon,228,57,40,48,174
Saran440,224,108,85,234,113
Shide,223,59,46,105,159
aleuffre,221,36,27,98,178
mt-software-de,219,32,38,98,165
mpascuall,217,21,15,42,191
SirPyTech,212,65,49,67,147
sbejaoui,208,93,70,134,117
vvrossem,205,54,37,43,154
