Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.583,1.658,12,4.110,6.167
ForgeFlow,768,868,27,2.306,3.703
akretion,491,643,18,1.334,3.127
camptocamp,427,613,26,1.844,2.330
acsone,298,444,22,1.203,2.199
HeliconiaIO,265,494,1,1.297,2.200
dixmit,208,232,2,698,1.058
APSL,199,240,6,899,1.341
moduon,144,182,9,714,921
sygel-technology,112,140,6,702,832
BinhexTeam,106,231,9,762,1.097
PyTech-SRL,100,140,6,456,738
jbaudoux,97,119,1,297,365
qrtl,94,147,3,648,647
ecosoft-odoo,91,114,5,219,552
Escodoo,88,123,5,335,587
BizzAppDev-Systems,85,166,1,314,541
terrabit-ro,75,78,2,2,283
adhoc-dev,70,78,15,345,643
hbrunn,67,92,1,268,367
Studio73,62,117,15,328,712
StefanRijnhart,55,62,1,233,331
NextERP-Romania,54,59,4,5,186
grap,52,73,2,146,342
vauxoo-dev,46,53,7,104,107
Chionne27,43,84,1,213,322
factorlibre,43,78,12,246,386
ursais,43,88,10,108,390
c4a8-odoo,42,54,3,149,326
cetmix,40,51,9,238,348
