Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,333,391,9,856,1.462
ForgeFlow,131,194,19,438,758
akretion,92,139,14,287,620
camptocamp,68,111,14,331,396
dixmit,53,52,2,165,258
HeliconiaIO,51,326,1,313,341
acsone,45,89,12,187,385
moduon,45,52,4,154,245
terrabit-ro,31,34,1,-,120
jbaudoux,30,34,1,43,58
sygel-technology,29,37,4,219,220
APSL,27,41,6,173,236
adhoc-dev,26,12,9,160,246
ecosoft-odoo,22,22,5,50,130
qrtl,19,20,3,115,121
vauxoo-dev,16,22,3,74,61
NextERP-Romania,15,17,3,-,36
PyTech-SRL,15,25,3,48,119
factorlibre,15,31,4,85,135
grap,15,23,2,25,88
BinhexTeam,14,46,5,122,180
xaviedoanhduy,14,17,1,98,118
StefanRijnhart,13,31,1,71,77
commitsun,12,13,3,4,34
Borruso,11,19,1,72,100
brian10048,11,11,1,14,50
ursais,11,25,6,25,105
yankinmax,11,14,1,57,69
BizzAppDev-Systems,10,9,1,51,80
Kimkhoi3010,10,10,1,50,73
