Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,234,250,10,539,819
ForgeFlow,109,144,13,282,425
camptocamp,63,101,12,223,340
akretion,47,61,7,128,304
acsone,46,51,11,143,307
HeliconiaIO,40,6,1,130,297
BizzAppDev-Systems,32,27,1,65,152
dixmit,26,21,2,90,135
PyTech-SRL,20,25,3,79,137
sygel-technology,19,22,6,111,112
APSL,14,24,4,84,95
Studio73,13,15,7,79,171
Engenere,12,14,2,40,71
Chionne27,11,20,1,31,51
moduon,11,23,5,85,109
BinhexTeam,10,26,3,72,82
Escodoo,9,24,3,40,90
commitsun,7,11,1,13,35
petrus-v,7,10,1,24,24
solvosci,7,18,4,37,61
vauxoo-dev,7,8,2,1,5
xaviedoanhduy,7,11,1,10,43
ecosoft-odoo,6,7,1,11,34
factorlibre,6,10,5,35,55
grindtildeath,6,8,1,33,32
hbrunn,6,3,1,7,32
hildickethan,5,5,1,9,16
ByteMeAsap,4,7,1,22,30
adhoc-dev,4,6,3,22,55
cetmix,4,6,3,13,31
