Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,206,213,9,536,792
ForgeFlow,151,152,17,408,802
akretion,65,70,8,140,383
camptocamp,33,50,13,217,194
acsone,31,44,9,95,235
dixmit,23,32,2,78,92
APSL,20,43,4,135,186
HeliconiaIO,18,66,1,170,166
NextERP-Romania,16,15,3,-,64
ecosoft-odoo,15,23,2,35,92
hbrunn,15,20,1,52,61
moduon,14,18,3,60,88
microcom,13,-,1,19,44
sygel-technology,12,9,4,47,80
tegin,12,12,1,27,44
ursais,12,22,6,15,88
qrtl,11,14,2,79,69
StefanRijnhart,10,8,1,40,47
adhoc-dev,10,10,6,32,77
grap,8,13,2,14,41
kencove,8,17,3,111,154
BinhexTeam,7,19,3,47,64
Kimkhoi3010,6,2,1,24,35
c4a8-odoo,6,4,3,20,45
cetmix,6,7,2,27,51
xaviedoanhduy,6,7,1,14,25
Escodoo,5,5,3,19,33
SonCrits,5,-,1,4,3
eLBati,5,5,1,19,34
rjaraspearhead,5,5,1,38,38
