Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,198,227,9,519,880
ForgeFlow,70,107,15,255,394
akretion,44,71,11,178,334
camptocamp,34,58,9,199,204
dixmit,29,36,2,96,136
moduon,25,27,4,81,136
acsone,21,57,7,93,207
HeliconiaIO,19,176,1,191,170
jbaudoux,19,20,1,13,15
ecosoft-odoo,18,10,5,36,92
sygel-technology,16,25,2,143,122
qrtl,14,11,3,75,81
APSL,11,18,5,72,101
xaviedoanhduy,11,12,1,47,80
BinhexTeam,9,22,4,55,82
StefanRijnhart,8,26,1,59,49
PyTech-SRL,7,14,2,28,62
adhoc-dev,7,3,4,33,89
brian10048,7,3,1,8,30
microcom,7,-,1,18,36
factorlibre,6,13,4,35,76
Kimkhoi3010,5,4,1,16,25
LucasTran380381,5,5,1,19,25
Studio73,5,23,4,27,67
hbrunn,5,8,1,20,25
ursais,5,15,3,11,45
BizzAppDev-Systems,4,5,1,30,35
CristianoMafraJunior,4,7,1,15,29
Escodoo,4,3,2,16,27
SylweKra,4,3,1,21,26
