User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,351,340,3705,3042,3462
victoralmau,519,501,379,706,1249
jbaudoux,120,98,564,891,1024
carlos-lopez-tecnativa,238,234,197,710,973
MiquelRForgeFlow,212,209,576,642,890
rousseldenis,94,43,1130,793,879
etobella,181,163,578,613,813
marcelsavegnago,43,27,214,665,713
LoisRForgeFlow,66,65,607,571,669
rvalyi,231,173,884,442,660
BhaveshHeliconia,494,265,506,315,625
StefanRijnhart,63,55,383,516,599
pilarvargas-tecnativa,161,163,159,370,558
simahawk,160,143,626,365,546
ivantodorovich,55,44,175,432,497
AaronHForgeFlow,66,54,276,367,446
sebalix,95,77,257,335,438
CarlosRoca13,109,97,136,274,393
hbrunn,92,69,201,268,361
yostashiro,2,1,102,343,356
lmignon,68,60,282,267,352
legalsylvain,64,41,373,280,348
chienandalu,70,72,46,254,341
sbidoul,84,57,348,255,340
antoniospneto,46,32,192,271,324
dreispt,60,30,332,258,314
JordiMForgeFlow,48,49,137,219,287
sergio-teruel,48,44,93,221,282
peluko00,88,73,190,179,275
juancarlosonate-tecnativa,78,63,112,186,268
kobros-tech,130,38,562,186,259
luisDIXMIT,53,46,56,198,259
alexis-via,153,150,311,47,227
ValentinVinagre,13,10,127,202,227
HviorForgeFlow,20,13,253,182,215
AungKoKoLin1997,126,73,130,114,210
mpascuall,19,14,37,186,210
carlosdauden,43,39,56,154,207
EmilioPascual,49,39,77,150,205
bizzappdev,193,99,91,78,200
CristianoMafraJunior,69,51,66,132,199
ppyczko,44,39,69,138,192
bosd,62,23,217,143,189
Saran440,90,76,190,86,185
mt-software-de,32,36,93,134,185
TDu,34,23,34,144,179
Christian-RB,27,19,118,143,178
aleuffre,30,25,75,139,178
rrebollo,47,31,93,128,175
yajo,23,21,62,139,173
mmequignon,47,27,34,129,169
Shide,43,37,79,115,167
BernatObrador,52,45,68,104,164
renatonlima,37,25,65,125,164
edescalona,54,17,185,123,161
SirPyTech,46,37,40,110,160
CRogos,36,28,152,110,156
xaviedoanhduy,69,40,90,96,154
sbejaoui,54,44,93,89,150
petrus-v,39,17,67,118,149
rafaelbn,-,-,237,133,148
Tisho99,58,50,96,81,148
HaraldPanten,-,-,163,134,147
florian-dacosta,46,39,98,89,145
vvrossem,44,22,30,111,145
eLBati,22,19,161,104,140
LauraCForgeFlow,78,58,22,68,140
hparfr,11,7,43,123,140
twalter-c2c,7,4,10,129,139
manuelregidor,21,20,77,102,135
DavidJForgeFlow,37,29,38,92,133
kaynnan,23,18,23,105,133
lbarry-apsl,35,26,95,90,132
yankinmax,31,18,36,102,132
grindtildeath,51,36,58,75,126
ThiagoMForgeFlow,54,54,27,57,124
ivs-cetmix,10,8,147,98,121
david-banon-tecnativa,39,34,27,69,114
ArnauCForgeFlow,68,59,48,32,106
henrybackman,16,10,11,89,106
NL66278,20,7,79,85,105
gurneyalex,11,8,71,85,105
kanda999,4,6,6,95,105
francesco-ooops,-,-,363,85,104
AlexPForgeFlow,25,17,56,74,103
dhongu,85,79,122,2,101
Chionne27,84,43,32,43,101
remi-filament,40,36,56,50,100
JasminSForgeFlow,31,38,44,49,99
santostelmo,29,16,39,70,98
ByteMeAsap,40,19,62,63,96
yvaucher,4,1,164,79,95
leemannd,9,6,38,80,95
cvinh,10,3,65,80,94
mbcosta,50,39,67,37,91
acsonefho,10,9,55,68,88
rjaraspearhead,18,8,39,70,88
marielejeune,14,9,36,68,87
micheledic,21,10,89,62,86
kluna1998,24,21,18,56,86
sergiocorato,32,15,45,58,85
JoanSForgeFlow,41,34,9,41,84
nobuQuartile,16,15,21,60,84
AnizR,16,12,31,61,83
dalonsod,14,11,63,59,82
Borruso,41,24,45,43,80
matteonext,21,8,50,60,80
SilvioC2C,19,17,11,55,80
AndreuOForgeFlow,19,14,15,58,80
JordiBForgeFlow,35,18,130,44,79
FrancoMaxime,1,2,-,73,76
odooNextev,21,14,54,47,73
TheMule71,16,11,87,48,72
Ricardoalso,22,12,14,52,72
max3903,12,7,101,50,71
monen17,14,4,76,55,71
WesleyOliveira98,17,13,7,51,71
adasatorres,33,14,48,43,70
amh-mw,16,4,32,56,70
StephaneMangin,5,3,25,60,70
tafaRU,21,15,78,41,69
sebastienbeau,17,11,69,46,69
MaurizioPellegrinet,-,-,4,64,66
GSLabIt,9,8,8,51,65
tarteo,18,9,44,44,64
florentx,34,30,17,23,63
Jaimermaccione,-,-,6,61,63
primes2h,15,10,60,40,62
DantePereyra,20,9,19,44,62
qgroulard,11,9,14,46,62
anusriNPS,22,16,19,36,61
Gelojr,-,-,7,58,61
moylop260,40,34,43,13,60
quentinDupont,11,14,60,35,60
giarve,38,16,32,30,58
Andrii9090,18,14,38,33,57
celm1990,7,5,9,46,57
wlin-kencove,1,-,52,48,56
aritzolea,10,5,19,42,55
trisdoan,22,21,51,21,54
flotho,5,2,53,42,54
Kimkhoi3010,37,23,19,20,53
astirpe,18,22,25,22,53
MohamedOsman7,15,11,21,34,53
matteoopenf,8,3,107,36,52
mileo,9,2,21,42,52
arielbarreiros96,19,14,48,26,51
len-foss,22,8,28,33,51
andreampiovesana,4,-,27,44,51
CLaurelB,7,7,12,38,51
eugenios73,19,15,65,23,50
rlimaeco,27,19,14,22,50
alexandregaldeano,8,6,4,39,50
fcvalgar,-,-,5,48,50
huguesdk,23,14,63,22,49
thomaspaulb,11,8,59,30,49
imlopes,24,12,19,28,49
chaule97,23,16,29,23,49
vincent-hatakeyama,22,19,36,19,49
DarioLodeiros,25,22,34,16,49
lef-adhoc,12,23,32,16,48
PicchiSeba,23,14,26,23,47
brian10048,17,15,42,21,47
jguenat,13,7,18,31,46
Pani-k-folk,16,9,3,31,46
GabbasovDinar,8,11,3,30,46
ced-adhoc,3,3,38,34,45
glitchov,33,24,3,14,45
Marco-ooops,-,-,-,45,45
dnplkndll,21,7,53,25,44
Anxo82,21,16,33,18,44
bealdav,14,9,27,26,44
quirino95,20,5,6,32,44
GuillemCForgeFlow,4,1,11,38,44
metaminux,10,7,41,26,43
FernandoRomera,20,19,26,14,43
luisg123v,1,1,18,37,43
antoniodavid,22,6,36,25,42
ntsirintanis,10,5,10,29,40
TheerayutEncoder,8,4,11,30,40
remytms,10,3,34,27,39
Kev-Roche,21,8,3,25,39
MeritxellAForgeFlow,8,6,7,28,39
coleste,-,-,3,37,39
thienvh332,21,11,10,19,38
BetoRaja,23,12,16,17,38
mymage,8,5,20,26,38
SylweKra,18,15,6,16,38
gbrito,4,1,7,32,38
ajaniszewska-dev,1,1,-,36,38
eduezerouali-tecnativa,30,16,6,13,37
alexey-pelykh,5,3,23,27,37
rov-adhoc,4,7,19,24,37
almumu,3,3,9,28,36
mav-adhoc,6,5,35,22,35
natuan9,17,17,21,9,35
TumbaoJu,27,25,9,2,35
baguenth,11,9,22,18,35
raumschmiede-joshuaL,10,5,21,22,35
MarinaAForgeFlow,15,10,10,18,35
felipemotter,8,6,10,22,34
RicardCForgeFlow,13,15,1,14,34
sergiobstoj,22,10,28,13,33
AEstLo,4,4,26,22,33
hildickethan,7,6,9,21,33
zamberjo,4,4,7,24,33
cyrilmanuel,4,1,3,28,33
JessBrandl,3,3,1,27,33
AlvaroRM11,12,2,9,24,32
CasVissers-360ERP,-,-,3,29,31
feketemihai,19,18,48,1,30
arantxa-s73,22,13,33,7,30
gdgellatly,11,5,29,16,30
patrickt-oforce,8,4,22,18,30
tobiaszehntner,11,7,18,15,30
baimont,16,6,15,15,29
em230418,11,4,17,18,29
geomer198,9,4,10,19,29
guewen,-,-,19,25,29
LucasTran380381,6,14,5,10,29
Dranyel-Bosd,-,-,1,28,29
kevinkhao,24,7,20,12,28
NICO-SOLUTIONS,10,6,39,13,28
Abranes,13,5,6,17,28
mike-cetmix,6,5,12,17,28
alan196,24,4,25,13,27
nimarosa,3,1,49,17,27
ioans73,1,1,19,21,27
vehi-invitu,12,1,16,18,26
cubells,16,5,17,13,26
paradoxxxzero,11,7,6,13,26
u0f,12,8,9,12,26
Alexgars73,14,4,40,11,25
LorenzoC0,19,10,7,8,25
wouitmil,18,3,6,15,25
danielduqma,7,13,15,5,25
victorvermot,9,4,4,16,25
lmarion-source,4,2,3,19,25
DiegoParadeda,15,8,19,8,24
innovara,8,6,27,10,24
jdidderen,15,5,16,11,24
clementmbr,4,2,13,16,24
jesusVMayor,15,9,4,9,24
theangryangel,4,3,12,16,24
Honeyxilia,8,5,5,14,24
hoangtrann,2,-,6,20,24
samirGuesmi,17,6,17,9,23
bguillot,4,5,28,11,23
IsabelAForgeFlow,17,11,10,5,23
anajuaristi,-,-,21,18,23
ferran-S73,3,3,14,15,23
emiliesoutiras,4,-,9,18,23
miguel-S73,1,2,9,17,23
Anushapadinharepurakkal,42,11,7,2,22
PieterPaulussen,7,1,37,12,22
luc-demeyer,9,6,11,10,22
luis-ron,-,-,3,20,22
mourad-ehm,7,4,13,11,21
acpMicrocom,-,21,-,-,21
Xino61122,4,2,12,14,21
jcadhoc,6,5,1,13,21
houssine78,1,-,2,19,21
sabrinaRMartin,9,6,9,8,20
miquelalzanillas,2,2,11,13,20
DorianMAG,3,3,5,13,20
ThomasBinsfeld,5,4,6,11,20
javierizaca,-,-,3,18,20
SirAionTech,2,5,8,10,19
david-s73,11,7,34,3,19
matiasperalta1,11,3,20,8,19
ellbristow,12,3,18,8,19
Ricardo-MC,13,4,8,9,19
augusto-weiss,7,5,11,8,19
stananatanaela,19,15,-,-,19
damdam-s,12,1,4,13,19
BT-dmoreno,-,1,15,14,19
dferest,7,2,8,12,19
vib-adhoc,7,7,7,7,19
MateuGForgeFlow,10,4,3,10,19
copilot-pull-request-reviewer[bot],-,-,-,19,19
PolComas,31,2,14,7,18
ljsalvatierra-factorlibre,8,2,18,9,18
cuongnmtm,2,1,20,11,18
kittiu,-,-,10,15,18
ChristianSantamaria,6,4,7,9,18
VBNext,-,-,7,15,18
