Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.436,1.504,11,3.759,5.575
ForgeFlow,682,786,25,2.047,3.290
akretion,408,567,18,1.117,2.681
camptocamp,384,537,24,1.631,2.088
HeliconiaIO,249,488,1,1.218,2.012
acsone,235,378,20,1.001,1.826
APSL,188,238,6,885,1.272
dixmit,182,190,2,611,930
moduon,122,159,9,588,793
sygel-technology,108,132,6,674,772
PyTech-SRL,93,131,6,402,667
jbaudoux,90,108,1,259,317
BinhexTeam,86,200,9,657,904
ecosoft-odoo,86,104,5,209,515
qrtl,81,129,3,603,568
BizzAppDev-Systems,75,120,1,276,477
terrabit-ro,65,68,1,2,247
Escodoo,63,89,5,240,427
hbrunn,63,84,1,244,328
Studio73,58,106,15,291,633
adhoc-dev,56,61,13,297,563
NextERP-Romania,53,57,4,3,181
StefanRijnhart,53,54,1,211,301
ursais,42,85,10,95,368
vauxoo-dev,42,47,7,98,102
Chionne27,39,80,1,195,287
factorlibre,39,68,12,209,341
grap,39,60,2,96,257
c4a8-odoo,38,52,3,140,307
cetmix,38,49,9,231,335
