Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1915,2042,13,4913,7543
ForgeFlow,905,1055,28,2753,4458
akretion,655,897,21,1744,4022
camptocamp,585,802,27,2417,3244
acsone,380,606,22,1502,2749
HeliconiaIO,342,553,1,1529,2904
dixmit,276,304,2,923,1422
APSL,217,255,6,958,1497
moduon,202,285,9,1109,1305
Escodoo,169,246,6,704,1121
jbaudoux,154,187,1,459,638
BinhexTeam,147,317,12,974,1529
sygel-technology,140,177,6,838,1023
PyTech-SRL,131,192,6,628,975
Studio73,127,214,17,687,1287
qrtl,127,215,4,911,913
BizzAppDev-Systems,111,239,1,444,765
ecosoft-odoo,107,147,6,260,681
terrabit-ro,92,95,2,8,352
adhoc-dev,88,160,18,508,848
vauxoo-dev,83,91,9,122,131
hbrunn,77,112,1,317,471
NextERP-Romania,76,81,4,5,263
StefanRijnhart,72,75,1,287,411
grap,72,87,2,185,472
factorlibre,55,115,15,341,545
Engenere,54,75,2,197,423
cetmix,54,70,12,375,449
ursais,52,128,10,138,477
Chionne27,49,84,1,227,358
