Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.736,1.843,12,4.434,6.726
ForgeFlow,832,932,27,2.471,4.000
akretion,522,710,18,1.466,3.340
camptocamp,478,690,26,2.038,2.627
acsone,347,510,22,1.321,2.487
HeliconiaIO,288,520,1,1.370,2.398
dixmit,243,270,2,836,1.257
APSL,203,248,6,922,1.381
moduon,163,208,9,849,1.043
jbaudoux,131,165,1,390,516
sygel-technology,118,156,6,747,886
BinhexTeam,116,254,11,796,1.199
Escodoo,112,163,5,447,766
PyTech-SRL,106,153,6,530,793
qrtl,102,164,3,728,701
ecosoft-odoo,94,131,5,229,586
BizzAppDev-Systems,92,221,1,374,632
terrabit-ro,78,81,2,2,293
Studio73,74,149,16,394,856
adhoc-dev,74,108,16,388,705
hbrunn,69,97,1,277,398
NextERP-Romania,64,69,4,5,220
StefanRijnhart,63,67,1,255,358
grap,61,75,2,155,406
vauxoo-dev,57,65,9,115,124
cetmix,47,55,10,287,389
factorlibre,47,92,14,280,452
ursais,46,102,10,122,426
Engenere,45,65,2,170,370
Chionne27,44,84,1,214,330
