Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,539,604,9,1.392,2.254
ForgeFlow,282,346,23,846,1.560
akretion,157,209,16,427,1.003
camptocamp,101,161,19,548,590
acsone,76,133,12,282,620
dixmit,76,84,2,243,350
HeliconiaIO,69,392,1,483,507
moduon,59,70,4,214,333
APSL,47,84,6,308,422
sygel-technology,41,46,5,266,300
ecosoft-odoo,37,45,5,85,222
adhoc-dev,36,22,11,192,323
jbaudoux,33,39,1,50,68
terrabit-ro,33,35,1,-,126
NextERP-Romania,31,32,4,-,100
qrtl,30,34,3,194,190
hbrunn,25,41,1,107,131
StefanRijnhart,23,39,1,111,124
grap,23,36,2,39,129
ursais,23,47,9,40,193
BinhexTeam,21,65,6,169,244
microcom,21,-,1,40,89
vauxoo-dev,20,23,5,86,76
xaviedoanhduy,20,24,1,112,143
PyTech-SRL,19,33,4,84,167
Kimkhoi3010,16,12,1,74,108
factorlibre,16,35,4,95,170
tegin,16,19,1,48,70
Escodoo,14,16,3,52,89
kencove,14,69,3,178,332
