Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1.033,1.077,11,2.700,4.162
ForgeFlow,504,572,25,1.541,2.535
akretion,323,437,18,883,2.071
camptocamp,242,343,23,1.094,1.352
acsone,168,279,16,718,1.319
HeliconiaIO,166,480,1,941,1.337
APSL,148,208,6,747,1.039
dixmit,146,157,2,471,707
moduon,89,111,5,369,522
sygel-technology,82,103,6,521,634
jbaudoux,81,100,1,238,285
qrtl,67,78,3,399,412
BinhexTeam,65,150,8,503,717
PyTech-SRL,63,91,6,272,440
terrabit-ro,61,64,1,2,231
ecosoft-odoo,60,78,5,167,384
hbrunn,53,76,1,229,254
adhoc-dev,50,48,12,264,474
NextERP-Romania,48,51,4,-,163
StefanRijnhart,44,48,1,191,251
ursais,39,77,10,82,324
BizzAppDev-Systems,38,72,1,197,297
grap,37,52,2,83,227
Studio73,36,83,13,178,383
vauxoo-dev,35,39,6,97,97
cetmix,33,41,9,210,293
xaviedoanhduy,31,52,1,149,227
Escodoo,29,40,3,120,189
c4a8-odoo,29,44,3,117,246
factorlibre,28,50,9,142,254
