Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,180,151,10,450,695
ForgeFlow,74,77,14,257,318
akretion,60,76,11,178,375
APSL,41,45,5,194,257
camptocamp,33,48,9,165,163
HeliconiaIO,32,55,1,165,293
dixmit,30,29,2,71,124
acsone,24,38,8,116,192
BinhexTeam,15,40,6,111,143
terrabit-ro,14,14,1,-,52
Chionne27,9,14,1,63,78
Escodoo,9,19,3,46,66
PyTech-SRL,9,14,6,24,66
moduon,9,15,3,56,54
NextERP-Romania,8,10,2,-,30
sygel-technology,8,23,3,68,84
trisdoan,8,8,1,23,57
c4a8-odoo,7,16,3,29,76
kencove,7,17,2,35,114
odooNextev,7,5,1,64,69
CristianoMafraJunior,6,7,1,22,30
eLBati,6,2,1,23,61
ecosoft-odoo,6,14,2,30,47
herminioelx,6,11,1,15,58
jbaudoux,6,10,1,30,32
qrtl,6,14,2,62,40
thienvh332,6,8,1,7,28
xaviedoanhduy,6,9,1,14,44
factorlibre,5,9,2,20,32
Borruso,4,3,1,19,48
