Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,153,185,8,324,559
ForgeFlow,64,64,15,165,297
camptocamp,51,77,14,194,295
acsone,49,66,8,118,288
dixmit,35,38,2,138,199
jbaudoux,34,46,1,93,151
akretion,31,67,8,132,213
Escodoo,24,40,3,112,179
HeliconiaIO,23,26,1,73,196
moduon,19,26,8,135,122
Studio73,12,32,8,66,144
vauxoo-dev,11,12,4,11,17
BinhexTeam,10,23,5,34,102
NextERP-Romania,10,10,2,-,34
grap,9,2,2,9,64
ByteMeAsap,8,3,1,7,49
StefanRijnhart,8,5,1,22,27
qrtl,8,17,2,80,54
BizzAppDev-Systems,7,55,1,60,91
Engenere,7,11,1,30,61
cetmix,7,4,3,49,41
PyTech-SRL,6,13,3,74,55
coopiteasy,6,10,2,15,43
sygel-technology,6,16,3,45,54
APSL,4,8,2,23,40
Digital5-Odoo,4,3,2,9,11
adhoc-dev,4,30,2,43,62
bosd,4,5,1,11,43
factorlibre,4,14,3,34,66
lefilament,4,3,1,20,17
