User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,370,40,41,401,303
Reyes4711-S73,134,5,2,92,120
rvalyi,104,25,20,110,69
victoralmau,81,24,23,17,49
carlos-lopez-tecnativa,80,11,13,7,61
NL66278,77,5,2,50,66
CristianoMafraJunior,62,12,13,11,42
etobella,58,16,8,36,40
christian-ramos-tecnativa,56,17,11,18,37
ivantodorovich,55,10,8,38,38
jbaudoux,53,14,12,31,32
sebalix,53,3,5,18,42
legalsylvain,52,8,7,66,34
dreispt,52,6,5,31,39
antoniospneto,52,5,6,39,38
kaynnan,50,13,10,10,33
StefanRijnhart,49,4,4,29,38
BhaveshHeliconia,47,(null),34,59,5
yostashiro,47,(null),(null),11,44
chienandalu,47,3,1,3,43
marcelsavegnago,46,8,1,20,38
vvrossem,43,6,4,7,34
yankinmax,42,8,4,6,33
alexis-via,40,33,25,35,3
AaronHForgeFlow,39,12,4,17,27
pilarvargas-tecnativa,39,17,14,12,17
rousseldenis,38,8,1,46,27
simahawk,38,5,6,24,25
Shide,36,7,4,14,26
sbidoul,33,6,6,45,18
bosd,33,22,3,23,21
TDu,33,10,5,15,21
ivs-cetmix,33,1,1,18,27
yajo,32,1,1,8,27
hbrunn,31,4,4,21,20
Andrii9090,31,12,11,12,13
Gelojr,31,(null),(null),(null),31
DavidJForgeFlow,29,1,1,14,23
luisDIXMIT,29,4,2,2,24
EmilioPascual,28,6,4,17,17
bizzappdev,28,13,15,4,7
eduezerouali-tecnativa,28,7,5,8,18
AungKoKoLin1997,27,24,9,19,9
HviorForgeFlow,27,1,1,36,19
Alexgars73,27,2,8,12,14
marielejeune,27,4,3,6,20
huguesdk,26,4,6,26,13
kobros-tech,25,4,3,37,14
pablo-cort-s73,25,6,5,8,15
arantxa-s73,24,9,6,7,12
rrebollo,23,6,4,20,12
lef-adhoc,22,21,5,13,9
eLBati,22,4,3,20,13
jcoux,22,6,5,4,13
HaraldPanten,21,(null),(null),15,17
sbejaoui,21,7,3,7,13
JordiMForgeFlow,20,7,4,4,11
sbiosca-s73,20,(null),(null),3,18
Borruso,19,11,7,8,6
hparfr,19,1,1,3,15
copilot-pull-request-reviewer[bot],19,(null),(null),(null),19
rafaelbn,18,(null),(null),32,12
thomaspaulb,18,2,(null),20,12
CRogos,18,6,1,11,11
MiquelRForgeFlow,18,3,1,7,13
carlosdauden,18,1,3,3,12
JoanSForgeFlow,17,6,5,8,7
ThiagoMForgeFlow,17,4,1,12,11
SirPyTech,17,4,4,11,8
Mohajiro,17,7,1,2,12
cyrilmanuel,17,3,1,4,12
SilvioC2C,16,8,3,17,6
almumu,16,6,5,9,6
aleuffre,16,1,1,11,11
LauraCForgeFlow,16,10,7,1,5
eugenios73,16,4,5,6,7
juancarlosonate-tecnativa,16,6,2,(null),12
leemannd,16,2,(null),5,12
JordiBForgeFlow,15,5,5,24,3
jelenapoblet,15,(null),1,22,9
tafaRU,15,2,2,21,7
TheMule71,15,5,4,11,5
Tisho99,15,4,5,9,5
syci,14,10,1,21,5
antoniodavid,14,9,(null),6,9
Saran440,14,3,3,12,6
flotho,14,4,1,15,7
david-s73,14,6,6,1,5
edescalona,13,7,1,11,6
santostelmo,13,5,2,7,6
lmignon,13,5,2,8,6
tarteo,13,2,1,11,7
u0f,13,8,3,4,5
petrus-v,13,4,3,5,6
sergio-teruel,13,4,1,5,8
mmequignon,13,3,5,1,5
andreampiovesana,13,(null),(null),2,12
kanda999,13,(null),(null),(null),13
NICO-SOLUTIONS,12,3,2,28,3
adasatorres,12,2,4,6,4
gfcapalbo,12,3,(null),6,8
dhongu,12,7,5,5,2
Anxo82,11,(null),3,10,5
celm1990,11,(null),1,9,7
