Organizations,MPRs,CPRs,Users,Reviews,Cts
akretion,69,90,12,151,349
camptocamp,61,40,11,165,299
Tecnativa,60,68,10,153,284
ForgeFlow,38,56,14,135,231
Escodoo,32,48,5,149,198
vauxoo-dev,24,25,1,2,1
dixmit,23,14,2,53,106
HeliconiaIO,20,33,1,60,187
BinhexTeam,19,27,4,114,179
PyTech-SRL,17,28,4,67,113
qrtl,16,27,2,113,124
acsone,12,40,5,76,120
sygel-technology,12,17,3,50,70
NextERP-Romania,11,11,2,(null),39
jbaudoux,11,8,1,34,54
moduon,10,29,6,83,79
Studio73,9,17,6,42,85
terrabit-ro,9,7,1,(null),37
ecosoft-odoo,8,10,3,16,54
APSL,7,3,2,22,61
BizzAppDev-Systems,7,6,1,29,54
bosd,6,17,1,26,78
StefanRijnhart,5,4,1,21,34
adhoc-dev,4,19,3,51,40
c4a8-odoo,4,4,1,17,36
cetmix,4,4,2,28,21
grap,4,5,1,9,19
grindtildeath,4,1,1,8,19
hbrunn,4,11,1,29,46
Engenere,3,5,1,11,16
