User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,4229,443,434,4576,3706
victoralmau,1398,581,560,412,794
jbaudoux,1174,182,145,685,989
carlos-lopez-tecnativa,1170,291,285,234,853
rousseldenis,1018,106,46,1316,925
etobella,969,217,191,701,737
MiquelRForgeFlow,937,232,227,597,670
rvalyi,821,274,202,1074,570
marcelsavegnago,795,64,33,273,737
LoisRForgeFlow,729,72,71,650,624
BhaveshHeliconia,695,520,322,605,326
StefanRijnhart,687,72,67,446,590
simahawk,630,177,157,677,434
pilarvargas-tecnativa,629,188,184,183,418
ivantodorovich,606,74,62,247,520
sebalix,556,104,86,294,443
AaronHForgeFlow,508,86,62,315,419
yostashiro,452,2,1,123,438
legalsylvain,418,73,55,484,332
antoniospneto,418,61,45,261,349
CarlosRoca13,416,120,105,143,288
sbidoul,412,103,78,460,302
chienandalu,411,77,74,52,321
lmignon,404,77,64,310,314
hbrunn,398,101,75,231,298
dreispt,379,71,38,381,313
luisDIXMIT,353,75,63,79,272
JordiMForgeFlow,320,60,56,150,244
CristianoMafraJunior,316,104,83,96,213
sergio-teruel,304,58,45,100,241
juancarlosonate-tecnativa,295,86,65,116,210
peluko00,285,89,80,205,181
kobros-tech,280,135,42,609,202
alexis-via,277,201,181,353,63
AungKoKoLin1997,258,166,89,157,144
EmilioPascual,250,58,46,107,186
ValentinVinagre,250,18,14,134,220
HviorForgeFlow,244,22,15,305,207
bizzappdev,238,268,122,103,89
carlosdauden,235,46,44,60,176
yajo,232,25,23,80,195
TDu,227,57,31,51,181
bosd,225,90,30,262,169
kaynnan,216,41,28,42,175
mpascuall,216,21,15,42,190
Shide,215,55,44,100,154
mt-software-de,207,32,37,96,155
rrebollo,206,57,39,135,148
aleuffre,206,33,26,91,165
Saran440,201,103,80,213,96
SirPyTech,198,55,45,58,138
sbejaoui,196,81,66,120,110
vvrossem,195,53,34,41,147
ppyczko,194,44,39,69,140
mmequignon,190,55,36,39,140
yankinmax,184,46,24,47,146
renatonlima,180,51,37,68,128
NL66278,179,25,9,132,154
DavidJForgeFlow,177,44,36,62,126
BernatObrador,176,59,48,75,112
LauraCForgeFlow,176,98,77,30,84
rafaelbn,174,1,(null),295,156
HaraldPanten,172,(null),(null),193,158
edescalona,171,66,18,201,131
CRogos,171,47,30,169,121
petrus-v,171,45,22,80,133
Tisho99,170,69,57,113,94
eLBati,166,30,23,199,123
hparfr,165,13,10,46,145
ivs-cetmix,162,11,9,194,136
xaviedoanhduy,160,73,43,95,99
florian-dacosta,158,51,43,104,98
Christian-RB,151,26,19,109,116
Reyes4711-S73,149,8,2,108,134
ThiagoMForgeFlow,146,63,60,45,71
twalter-c2c,145,8,5,11,134
lbarry-apsl,137,35,26,99,95
