Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,110,118,8,312,478
ForgeFlow,67,74,18,168,396
moduon,31,26,4,120,209
terrabit-ro,29,29,2,9,117
vvrossem,27,131,1,57,128
akretion,24,43,10,123,189
acsone,20,25,7,89,168
sygel-technology,18,24,3,73,103
APSL,13,11,2,53,101
camptocamp,12,16,5,72,80
grap,12,11,2,26,85
coopiteasy,10,16,3,56,54
SirAionTech,9,9,1,38,107
PyTech-SRL,8,13,3,41,78
ecosoft-odoo,8,11,2,17,78
gurneyalex,8,9,1,10,28
Escodoo,7,5,3,22,58
Studio73,6,11,5,20,47
grindtildeath,6,15,1,44,59
Engenere,5,5,2,24,45
GSLabIt,5,3,1,14,31
NextERP-Romania,5,5,2,2,19
adhoc-dev,5,10,3,12,44
jbaudoux,5,3,1,25,31
kmee,5,12,1,34,80
qrtl,5,11,1,42,54
vauxoo-dev,5,5,3,31,49
xcgd,5,6,1,4,29
astirpe,4,3,1,16,29
dixmit,4,6,2,11,32
