Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,119,114,10,380,552
akretion,51,68,7,154,362
camptocamp,42,59,13,182,228
ForgeFlow,30,47,13,118,178
NextERP-Romania,21,15,2,-,78
acsone,20,33,6,56,149
dixmit,13,10,2,21,88
Escodoo,12,15,3,41,77
ursais,12,18,3,35,120
APSL,11,15,5,67,124
Engenere,11,18,1,26,100
factorlibre,9,6,5,26,60
sygel-technology,9,6,3,40,64
SirAionTech,8,16,1,47,60
kmee,8,13,3,32,70
petrus-v,8,10,1,28,43
moduon,7,7,4,20,34
commitsun,6,4,2,-,27
vauxoo-dev,6,6,5,29,36
BizzAppDev-Systems,5,12,1,17,42
PyTech-SRL,5,5,2,41,58
adhoc-dev,5,6,3,47,72
grap,5,9,2,25,20
imlopes,5,9,1,30,31
David-Luis-Mora,4,-,1,4,23
c4a8-odoo,4,6,2,9,21
eLBati,4,1,1,9,29
ecosoft-odoo,4,6,2,13,38
efatto,4,11,1,22,36
mt-software-de,4,4,1,11,20
