User,CPRs,MPRs,Cts,Reviews,CI
OpenCode,-,-,4,2,4
SirTakobi,-,-,-,-,0
ThiagoMForgeFlow,4,2,-,-,4
Trivedi-Vacha-SerpentCS,-,-,-,5,5
benwillig,1,1,2,2,5
davidwul,1,-,3,-,3
dreispt,3,-,-,2,4
dsolanki-initos,-,1,-,-,1
jaenbox,1,1,2,2,5
mariancuadranetkia,-,1,4,1,4
mmequignon,-,1,-,2,3
mourad-ehm,1,1,1,3,6
onurugur,2,-,3,-,3
ortlam,3,-,3,-,3
stananatanaela,3,3,-,-,5
suniagajose,-,-,6,-,2
tva-subteno-it,-,-,1,5,6
zamberjo,-,1,1,4,6
Abranes,-,-,1,4,5
Deriman-Alonso,-,1,1,3,5
MarinaAForgeFlow,1,1,3,-,4
MarwanBHL,1,-,-,4,5
SodexisTeam,2,1,1,1,4
Tiago370,3,-,-,2,4
Wodran14,5,-,-,-,2
adrian-dks,-,-,-,2,2
barkat-matthias,4,-,-,-,2
danielduqma,2,-,2,1,4
jado95,-,1,1,1,3
maq-adhoc,1,-,4,-,3
mav-adhoc,3,-,1,-,3
mercanyilmz,1,-,3,-,3
michelerusti,1,-,-,-,1
miquelalzanillas,-,-,2,2,3
remi-filament,2,-,1,2,4
remytms,2,1,2,-,4
robyf70,1,-,-,3,4
rov-adhoc,1,2,-,1,4
rven,2,-,3,-,3
CasVissers-360ERP,-,-,-,4,4
Jesarregui,-,-,1,3,4
JuMiSanAr,-,-,-,3,3
JulienMartinez,-,-,-,4,4
MateuGForgeFlow,-,-,2,2,3
PauBForgeFlow,-,4,-,-,4
PaulGoubert,-,-,-,4,4
Rad0van,-,-,3,1,3
Ricardoalso,-,1,1,2,4
aritzolea,-,-,3,1,3
chafique-delli,2,-,-,-,1
cvinh,1,-,3,-,3
enriquemartin,-,-,1,2,3
fredericgrall,2,-,1,-,2
jjscarafia,-,-,2,1,2
joscanog,1,-,1,2,4
luc-demeyer,-,1,2,-,2
matthieusaison,2,2,-,-,3
miguelpadin,2,-,1,-,2
ryanc-me,1,-,3,-,3
salvorapi,1,-,1,2,4
tv-openbig,-,-,4,-,2
yvaucher,1,2,1,-,4
AnaisLForgeFlow,1,2,-,-,3
CarlosVForgeFlow,-,1,-,2,3
DarioLodeiros,1,1,1,-,3
FrancoMaxime,-,-,-,3,3
Highcooley,-,-,3,-,2
IT-Ideas,-,-,2,1,2
JBvandermeulen,-,-,-,3,3
LorenzoC0,2,-,1,-,2
MaurizioConte,-,-,3,-,2
MohamedOsman7,1,-,-,2,3
PCatinean,-,-,2,1,2
PlantBasedStudio,1,-,1,-,2
SowmyaReddy-dev,1,-,1,-,2
Temiralp,1,-,1,-,2
Urvisha-OSI,3,-,-,-,2
ZestyBeanz-Odoo,2,-,-,-,1
adasatorres,1,-,-,2,3
alexcape14,1,-,1,-,2
andrel-exo,-,-,2,1,2
arantxa-s73,2,-,-,-,1
bodedra,-,-,-,3,3
bruno-zanotti,2,-,-,-,1
domenicostragapede,-,-,-,-,0
ellbristow,1,1,1,-,3
fanchlegal,2,-,-,-,1
gdarid,2,-,-,-,1
giarve,-,2,-,-,2
guewen,-,-,1,2,3
hildickethan,-,-,-,3,3
houzefa-abba,-,-,-,2,2
javierjcf,2,-,1,-,2
jcadhoc,1,-,2,-,2
jdoutreloux,1,1,-,-,2
jmhanshing,1,-,1,-,2
joaoc-exo,2,-,-,-,1
jonerikceberio,2,-,-,-,1
josselin-arica,-,-,3,-,2
liklee-it,2,-,-,-,1
luisDIXMIT,-,2,1,-,3
mmaridev,-,1,2,-,2
mmrondon,3,-,-,-,2
mtelahun,-,-,1,2,3
myrrkel,2,-,1,-,2
navarrorico,-,-,1,2,3
patrickt-oforce,-,-,-,2,2
pleirb,1,-,1,-,2
raumschmiede-joshuaL,1,-,2,-,2
rjab-odoo,-,-,-,3,3
robinkeunen,1,1,1,-,3
sergiobstoj,-,-,2,-,1
victorvermot,-,2,1,-,3
vnikolayev1,1,-,1,-,2
yannoliv,2,-,1,-,2
AIR-Leo,1,-,1,-,2
AndrzejGerasimukARCHIMEDES,-,-,2,-,1
AntoniRomera,-,-,2,-,1
BT-dmoreno,-,-,1,-,1
BialArno,-,-,-,2,2
Bilbonet,-,-,2,-,1
ChristophAbenthungCibex,1,1,-,-,2
CristianoMafraJunior,1,1,-,-,2
Demacri,1,-,1,-,2
DigitalAutomations,-,-,1,1,2
DiogoPereira56,1,-,-,-,1
FSchiepers,-,2,-,-,2
Jaimermaccione,-,-,-,2,2
Jan-Onestein,-,-,1,1,2
JaumeBforgeFlow,-,-,-,-,0
JuanjoSegui,1,-,-,1,2
KKamaa,1,1,-,-,2
Mantux11,-,-,2,-,1
Matthwhy,-,-,-,2,2
NL66278,-,-,1,-,1
Pablocce,-,-,1,1,2
ProcessControl-MRV,1,-,-,-,1
Reyes4711-S73,-,1,-,1,2
Segui-S73,1,1,-,-,2
StephaneMangin,-,-,-,1,1
ThomasBinsfeld,-,-,-,1,1
UmutUNU,1,-,-,-,1
abenzbiria,1,-,-,-,1
adrip-s73,1,-,-,-,1
alexandregaldeano,-,-,-,2,2
aliciagaarzo,-,1,1,-,2
alvaro-domatix,-,-,1,1,2
ambientWave,-,1,1,-,2
amincheloh,1,1,-,-,2
amkarthik,-,-,-,2,2
anajuaristi,-,-,1,1,2
angelmoya,1,-,-,-,1
bguillot,-,-,1,1,2
blaskurain,1,1,-,-,2
carolina-domatix,2,-,-,-,1
clementmbr,-,-,2,-,1
dc-oerp,1,-,1,-,2
denaux,1,-,1,-,2
dessanhemrayev,1,-,-,-,1
extrememicro,1,1,-,-,2
florenciafrigieri2,-,1,1,-,2
geomer198,-,1,-,-,1
gjotten,-,-,1,1,2
hs-devang,1,-,-,-,1
hugomartineznetkia,1,-,-,1,2
ifr-odoo,-,-,2,-,1
ioans73,-,-,1,1,2
isaako34,-,1,-,1,2
jcoux,-,-,-,2,2
jeroenev,-,-,2,-,1
jfialloss,-,-,-,2,2
jguenat,1,-,1,-,2
jorge-luis-dev,-,1,-,1,2
keylor2906,-,-,-,2,2
kwoychesko,-,-,2,-,1
ljsalvatierra-factorlibre,-,-,-,-,0
metaminux,1,-,1,-,2
miikanissi,1,1,-,-,2
mostafabarmshory,-,-,-,1,1
newtratip,-,1,-,-,1
oihane,-,-,1,1,2
okuryan,-,-,1,1,2
pablo-marin-s73,2,-,-,-,1
qgroulard,-,-,2,-,1
rosenvladimirov,-,-,-,-,0
ryantran-novobi,-,-,-,2,2
sbiosca-s73,-,1,1,-,2
stephansainleger,-,-,2,-,1
tafaRU,-,-,1,-,1
theangryangel,-,-,-,2,2
tli-asl,1,-,1,-,2
wekeesler,1,1,-,-,2
xtanuiha,-,-,-,2,2
ygol,1,-,-,-,1
ACheung-FactorLibre,-,1,-,-,1
Ammar-OSI,-,-,-,-,0
AnizR,-,-,-,-,0
ArcadioPinto,-,-,-,-,0
AurelijaNorvaisaite,1,-,-,-,1
BT-aleonard,-,-,-,-,0
BT-cserra,-,-,-,1,1
BT-dherreros,1,-,-,-,1
Bart-dh,-,-,1,-,1
Bearnard21,1,-,-,-,1
BojanOD,-,-,-,-,0
BurkhalterY,-,-,-,1,1
C2dricLeroy,1,-,-,-,1
CarlosRiquelme,-,-,-,-,0
CedricAtanane,1,-,-,-,1
Chandresh-OSI,-,-,-,-,0
Dambrous,-,-,-,-,0
Danisan,-,-,1,-,1
David-Luis-Mora,-,-,-,-,0
DavideSpagnuolo,-,-,-,1,1
Drsmartinkus,1,-,-,-,1
FernandoRomera,-,-,-,1,1
Feyensv,-,-,-,1,1
FrancescoBallerini,-,-,-,1,1
FrancescoGermani,-,1,-,-,1
FranciscoExposito,-,-,-,1,1
FranzPoize,-,-,1,-,1
FreezeS,-,-,-,1,1
Freni-OSI,-,-,-,-,0
GuiPrime,-,-,-,1,1
IJOL,1,-,-,-,1
IrluiDev,-,-,1,-,1
Its-suyash,-,-,-,-,0
Jordi-Buitrago,-,-,-,1,1
Jortolsa-S73,-,-,-,1,1
Josep-s73,1,-,-,-,1
JuanyDForgeflow,-,-,-,-,0
KNVx,-,-,-,-,0
Katulos,-,-,-,-,0
Kiplangatdan,-,-,-,-,0
Loregs2,1,-,-,-,1
LucasLefevre,-,-,1,-,1
MarcoCalcagni,-,-,-,1,1
MartaVazquezHucke,-,-,-,-,0
Michelle-RiveroM,-,-,-,1,1
MiguelPoyatos,-,-,-,1,1
Murtaza-OSI,-,-,1,-,1
Murtaza-SerpentCS,-,-,1,-,1
Nantikan23,-,-,-,1,1
Nikul-OSI,-,-,1,-,1
Olageibol,-,-,-,-,0
OsoTranquilo,-,-,-,1,1
OvertakeMattia,-,-,-,1,1
PNurm,1,-,-,-,1
Patelangel1995,1,-,-,-,1
Pexers,-,-,-,-,0
ProcessControl-AMC,-,-,-,1,1
Raul-S73,1,-,-,-,1
Robrechtc,-,-,-,-,0
RodrigoBM,-,-,-,-,0
SMaciasOSI,-,-,-,-,0
SergiCForgeFlow,-,-,-,-,0
SokreamPhan,-,-,-,-,0
Sou15,-,-,-,1,1
TB-Ph35,1,-,-,-,1
TTPBruce,-,-,1,-,1
Tardo,1,-,-,-,1
TennyMkt,-,-,-,1,1
TheClaud99,-,-,-,-,0
TinMyoWin-lab,1,-,-,-,1
TomAlbrechtQuatra,-,-,-,1,1
TonyMasciI,-,-,-,-,0
V3st1g3,-,1,-,-,1
Vandan-OSI,-,-,-,-,0
Vicenteagf,-,1,-,-,1
Vincenzo9191,-,-,-,-,0
YogeshMahera-SerpentCS,-,-,-,-,0
YuriyGural,1,-,-,-,1
aaladro-kernet,1,-,-,-,1
agyamuta,-,-,-,-,0
alessandrocamilli,1,-,-,-,1
almumu,-,-,1,-,1
amosdisabatino,-,-,-,1,1
anikeenko-viktor,-,1,-,-,1
antonag32,-,-,1,-,1
antoniodavid,-,-,-,1,1
antonyht27,-,-,1,-,1
are-agilebg,-,-,-,1,1
asanjuan-kernet,-,-,1,-,1
augusto-weiss,1,-,-,-,1
augustodinizl,-,-,-,1,1
ayushin,-,-,-,-,0
badbole,-,-,-,-,0
baptiste-n42,1,-,-,-,1
beagle-cloud,-,-,-,-,0
benj-filament,-,-,-,-,0
braisab,1,-,-,-,1
brian10048,1,-,-,-,1
carlosmaug,-,-,-,-,0
cav-adhoc,-,1,-,-,1
chandni-serpentcs,-,-,-,-,0
cle-enovea,-,-,1,-,1
cscocca,-,-,-,-,0
cuongnmtm,1,-,-,-,1
curonny,-,-,1,-,1
daiduongnguyen-odoo,1,-,-,-,1
damdam-s,-,-,-,-,0
dani-xtendoo,-,-,-,-,0
david-s73,1,-,-,-,1
davidedigrande,1,-,-,-,1
dcorio,-,-,1,-,1
diggy128,-,-,-,-,0
dustinhoanghavi,-,-,1,-,1
duyquyen96,-,-,1,-,1
eantones,-,-,-,-,0
ecino,-,-,-,-,0
emiliesoutiras,1,-,-,-,1
fah-mili,-,-,-,-,0
filipc96,-,-,-,-,0
florentx,1,-,-,-,1
francescapenso,-,-,-,1,1
fshah-initos,-,-,-,-,0
fuentes73,-,-,-,1,1
gabe-grinspan,1,-,-,-,1
gabriele-baldessari,-,-,-,-,0
gaikaz,-,-,-,1,1
gdgellatly,-,-,1,-,1
