Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,866,947,11,2.337,3.648
ForgeFlow,486,599,28,1.386,2.534
akretion,285,393,19,876,1.925
acsone,179,218,20,663,1.278
moduon,162,189,4,847,1.148
PyTech-SRL,155,201,4,577,1.006
camptocamp,154,237,21,883,1.103
sygel-technology,129,147,5,553,872
terrabit-ro,118,125,2,22,520
Escodoo,102,115,5,375,727
NextERP-Romania,79,86,3,7,339
ecosoft-odoo,76,132,7,136,540
factorlibre,65,100,15,330,533
coopiteasy,64,82,5,297,406
grap,59,96,2,202,346
APSL,55,85,6,321,463
dixmit,54,77,2,197,357
ursais,47,138,11,170,533
SirAionTech,46,75,1,158,443
vvrossem,42,147,1,103,210
Engenere,40,48,2,145,330
Studio73,40,76,13,177,330
c4a8-odoo,40,49,2,123,255
vauxoo-dev,38,45,10,108,225
QuocDuong1306,36,57,1,160,256
adhoc-dev,36,86,10,177,460
nguyenminhchien,36,41,1,130,279
qrtl,36,64,3,238,295
sunflowerit,35,50,3,93,227
kmee,33,56,4,172,355
