User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,192,190,2.769,2.400,2.656
rousseldenis,42,40,869,689,765
rvalyi,163,141,701,357,537
victoralmau,310,309,285,313,656
LoisRForgeFlow,85,84,372,367,480
legalsylvain,73,68,426,294,391
dreispt,77,32,563,162,227
etobella,57,55,363,312,394
chienandalu,147,110,132,414,548
jbaudoux,34,30,279,460,513
marcelsavegnago,80,74,280,333,433
simahawk,28,21,329,374,418
francesco-ooops,-,-,555,199,223
gurneyalex,37,25,356,216,266
HaraldPanten,-,-,392,219,239
SirAionTech,88,53,265,198,277
carolinafernandez-tecnativa,110,95,163,187,305
AaronHForgeFlow,62,50,216,193,266
sbidoul,94,73,217,139,236
yajo,59,51,152,231,302
lmignon,31,26,200,214,260
antoniospneto,42,36,147,241,296
dhongu,123,117,197,16,158
aleuffre,46,41,111,237,295
sergiocorato,55,30,179,131,182
pilarvargas-tecnativa,81,84,87,182,284
StefanRijnhart,29,14,190,178,211
thomaspaulb,35,25,248,102,149
CarlosRoca13,65,67,121,152,238
mileo,31,15,175,167,201
hbrunn,44,29,137,146,193
bosd,28,28,179,114,161
Saran440,99,64,131,35,120
EmilioPascual,72,52,90,131,201
eLBati,62,32,167,70,123
peluko00,71,47,132,87,154
rafaelbn,-,-,194,149,163
JordiMForgeFlow,65,53,56,150,219
alexis-via,76,70,137,28,118
sebalix,45,33,74,163,211
Shide,55,50,86,119,186
manuelregidor,62,56,108,84,158
MiquelRForgeFlow,49,37,48,161,212
renda-dev,88,74,36,94,183
santostelmo,39,26,51,171,210
sergio-teruel,58,55,66,101,172
AungKoKoLin1997,63,41,88,76,134
CRogos,35,29,110,107,152
vvrossem,149,46,32,41,105
flotho,20,9,116,124,148
mt-software-de,26,21,92,124,160
Tisho99,54,50,91,63,130
yankinmax,31,16,79,130,160
PicchiSeba,68,44,44,87,146
renatonlima,18,16,81,136,165
alexey-pelykh,19,8,111,109,132
kaynnan,39,29,61,89,132
mbcosta,43,37,91,56,109
JordiBForgeFlow,28,14,107,62,92
bealdav,23,13,80,93,120
HviorForgeFlow,9,5,115,83,102
cyrilmanuel,6,3,67,128,142
max3903,5,4,113,78,95
QuocDuong1306,61,38,52,28,81
grindtildeath,38,20,65,67,101
ivantodorovich,10,8,43,130,148
feketemihai,40,35,102,12,63
yostashiro,2,1,33,151,159
TDu,34,25,38,82,119
bizzappdev,90,16,20,31,61
leemannd,13,6,64,87,105
dalonsod,22,22,87,43,79
ValentinVinagre,-,-,69,105,113
ivs-cetmix,9,7,71,81,99
trisdoan,49,19,59,24,58
nguyenminhchien,41,38,38,47,98
GuillemCForgeFlow,21,12,33,91,113
carlosdauden,19,14,21,107,130
matteoopenf,11,9,104,25,48
odooNextev,14,15,70,43,70
celm1990,12,17,60,66,94
florian-dacosta,17,19,37,69,98
TheMule71,22,16,51,44,72
norlinhenrik,28,6,65,41,60
astirpe,39,24,30,44,80
MaurizioPellegrinet,-,-,25,115,120
sbejaoui,31,31,25,45,87
Borruso,30,29,25,43,82
BernatPForgeFlow,38,31,17,35,76
remi-filament,35,21,41,35,68
carlos-lopez-tecnativa,27,24,34,48,83
andreampiovesana,3,-,52,70,79
quentinDupont,26,8,32,63,82
carmenbianca,20,16,33,56,82
primes2h,14,6,59,48,65
moylop260,25,25,68,10,48
edlopen,24,21,36,43,75
huguesdk,15,14,37,53,77
DavidJForgeFlow,40,39,9,33,81
Deriman-Alonso,48,8,23,36,56
